name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Anusha I. Withana,University of Sydney,https://sydney.edu.au/engineering/people/anusha.withana,y17ckyIAAAAJ,767.0,13.0,2003.0
Judy Kay,University of Sydney,http://sydney.edu.au/engineering/it/~judy,4lr4HzgAAAAJ,12609.0,56.0,1981.0
Sasha Rubin,University of Sydney,https://sasharubin.github.io,f5HrcOwAAAAJ,1739.0,24.0,1999.0
Tom Weidong Cai,University of Sydney,https://sydney.edu.au/engineering/about/our-people/academic-staff/tom-cai.html,N8qTc2AAAAAJ,7692.0,42.0,1998.0
Fabio Ramos,University of Sydney,http://www-personal.acfr.usyd.edu.au/f.ramos/Fabio_Ramos_Homepage/Home.html,,,,
Chang Xu,University of Sydney,https://sydney.edu.au/engineering/about/our-people/academic-staff/c-xu.html,N4F_3eoAAAAJ,7628.0,41.0,2012.0
Irena Koprinska,University of Sydney,http://www.it.usyd.edu.au/~ikop0282,hUkXZXQAAAAJ,5090.0,34.0,1995.0
Albert Y. Zomaya,University of Sydney,http://sydney.edu.au/engineering/it/~zomaya,ak35bjgAAAAJ,32643.0,86.0,
David B. Lowe,University of Sydney,http://sydney.edu.au/engineering/people/david.lowe.php,8vs5HGYAAAAJ,124746.0,54.0,1978.0
Julián Mestre,University of Sydney,http://sydney.edu.au/engineering/it/~mestre,Tbp-tkcAAAAJ,1874.0,20.0,2004.0
Simon K. Poon,University of Sydney,http://sydney.edu.au/engineering/it/~spoon,yiuDZzwAAAAJ,1790.0,15.0,1994.0
Dagan Feng,University of Sydney,http://sydney.edu.au/engineering/it/about/people/staff/feng.shtml,89py58oAAAAJ,21188.0,67.0,2020.0
Anastasios Viglas,University of Sydney,http://sydney.edu.au/engineering/people/taso.viglas.php,_yW1EmoAAAAJ,1092.0,15.0,1999.0
Ralph Holz,University of Sydney,http://sydney.edu.au/engineering/people/ralph.holz.php,x9wWrzkAAAAJ,1867.0,21.0,2008.0
Joachim Gudmundsson,University of Sydney,http://sydney.edu.au/engineering/it/~joachim,uECC9_gAAAAJ,5496.0,39.0,1997.0
Lijun Chang,University of Sydney,http://sydney.edu.au/engineering/people/lijun.chang.php,SWYX6pgAAAAJ,2778.0,28.0,2009.0
Kevin K. Y. Kuan,University of Sydney,http://sydney.edu.au/engineering/people/kevin.kuan.php,nxiGa3EAAAAJ,2824.0,10.0,1997.0
Masahiro Takatsuka,University of Sydney,http://sydney.edu.au/engineering/people/masa.takatsuka.php,BuB1HjoAAAAJ,1467.0,18.0,1993.0
Kalina Yacef,University of Sydney,http://sydney.edu.au/engineering/people/kalina.yacef.php,kTZaMgMAAAAJ,6414.0,37.0,1996.0
Josiah Poon,University of Sydney,http://sydney.edu.au/engineering/people/josiah.poon.php,Q7U0O0gAAAAJ,2517.0,22.0,1995.0
Jinman Kim,University of Sydney,http://sydney.edu.au/engineering/people/jinman.kim.php,pLVaMiAAAAAJ,4568.0,33.0,2000.0
John Stavrakakis,University of Sydney,http://sydney.edu.au/engineering/it/about/people/lecturers.shtml,,,,
Xiuying Wang,University of Sydney,http://sydney.edu.au/engineering/it/about/people/staff/xiuying.shtml,K8lVq1YAAAAJ,1364.0,22.0,2001.0
Kanchana Thilakarathna,University of Sydney,https://sydney.edu.au/engineering/people/kanchana.thilakarathna.php,V-YM7ecAAAAJ,1084.0,14.0,2008.0
A. D. Fekete,University of Sydney,https://sydney.edu.au/engineering/it/~fekete,Hs9cVRgAAAAJ,7066.0,44.0,1987.0
Clément L. Canonne,University of Sydney,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/clement-canonne.html,gjLr_FgAAAAJ,1280.0,22.0,2014.0
