name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jian Liu,University of Tennessee,http://web.eecs.utk.edu/~jliu,Ckfl4_AAAAAJ,2827.0,25.0,2009.0
Jeremy H. Holleman,University of Tennessee,http://www.eecs.utk.edu/people/faculty/jhollema,kWTef0wAAAAJ,2166.0,20.0,1997.0
Mongi A. Abidi,University of Tennessee,http://www.eecs.utk.edu/people/faculty/abidi,p6w_qmoAAAAJ,10699.0,50.0,1984.0
Yilu Liu,University of Tennessee,http://www.eecs.utk.edu/people/faculty/liu,,,,
Mark E. Dean,University of Tennessee,http://www.eecs.utk.edu/people/faculty/markdean,xwhmCksAAAAJ,252.0,9.0,2004.0
Benjamin J. Blalock,University of Tennessee,http://web.eecs.utk.edu/~bblalock,K-nxf74AAAAJ,6773.0,41.0,1992.0
Kai Sun,University of Tennessee,http://web.eecs.utk.edu/~kaisun,iYCM0GYAAAAJ,6086.0,39.0,2002.0
Donatello Materassi,University of Tennessee,http://www.eecs.utk.edu/people/faculty/dmateras,_bjIGdIAAAAJ,1134.0,16.0,2003.0
Jinyuan Stella Sun,University of Tennessee,http://web.eecs.utk.edu/~jysun,gqGfIIsAAAAJ,3103.0,25.0,2005.0
Itamar Arel,University of Tennessee,http://www.eecs.utk.edu/people/faculty/ielhanan,wivIgKkAAAAJ,4313.0,24.0,1997.0
Jayne Wu,University of Tennessee,http://www.eecs.utk.edu/people/faculty/jwu10,oXoWM_QAAAAJ,2921.0,30.0,1998.0
Jack Dongarra,University of Tennessee,http://www.netlib.org/utk/people/JackDongarra,X4SbSTAAAAAJ,114775.0,133.0,
Aly E. Fathy,University of Tennessee,http://web.eecs.utk.edu/~fathy,D_b0_TYAAAAJ,7406.0,46.0,1984.0
Husheng Li,University of Tennessee,http://web.eecs.utk.edu/~husheng,pM3wc_YAAAAJ,7965.0,45.0,1999.0
Jens Gregor,University of Tennessee,http://web.eecs.utk.edu/~jgregor,dr5mE48AAAAJ,1002.0,20.0,1991.0
Judy Day,University of Tennessee,http://www.math.utk.edu/~judyday,OCTyT5YAAAAJ,1171.0,13.0,2004.0
Amir Sadovnik,University of Tennessee,http://uvu.eecs.utk.edu,OBuu9_YAAAAJ,362.0,9.0,2011.0
Fangxing Li,University of Tennessee,http://web.eecs.utk.edu/~fli6,Xlzr3HMAAAAJ,14761.0,62.0,2000.0
Fei (Fred) Wang,University of Tennessee,http://www.eecs.utk.edu/people/faculty/fwang9,Kl1OE9UAAAAJ,28288.0,85.0,1980.0
Brad T. Vander Zanden,University of Tennessee,http://web.eecs.utk.edu/~bvz,,,,
Jian Huang,University of Tennessee,http://web.eecs.utk.edu/~huangj,fGm3ZMkAAAAJ,29475.0,90.0,1951.0
Michael A. Langston,University of Tennessee,http://web.eecs.utk.edu/~langston,PXCKvVgAAAAJ,6916.0,47.0,1981.0
Hairong Qi,University of Tennessee,http://www.eecs.utk.edu/people/faculty/hqi,GqnNG-kAAAAJ,12892.0,57.0,1997.0
Garrett S. Rose,University of Tennessee,http://web.eecs.utk.edu/~grose4,Tn07pSYAAAAJ,4652.0,35.0,2002.0
Doowon Kim,University of Tennessee,https://www.eecs.utk.edu/people/doowon-kim,5lMlCeIAAAAJ,762.0,10.0,2011.0
Audris Mockus,University of Tennessee,http://mockus.us,ZGvnVQUAAAAJ,15356.0,51.0,1990.0
Seddik M. Djouadi,University of Tennessee,https://www.eecs.utk.edu/people/faculty/mdjouadi,2JfQjLMAAAAJ,1966.0,21.0,1990.0
Syed Islam,University of Tennessee,http://www.eecs.utk.edu/people/faculty/sislam,Q2JWrRkAAAAJ,22427.0,65.0,
Héctor Pulgar-Painemal,University of Tennessee,https://www.eecs.utk.edu/people/faculty/hpulgar,aXJa1EcAAAAJ,885.0,16.0,2001.0
Michael D. Vose,University of Tennessee,http://www.eecs.utk.edu/people/faculty/mvose1,,,,
Kevin Tomsovic,University of Tennessee,http://web.eecs.utk.edu/~ktomsovi,dffHNuwAAAAJ,9158.0,49.0,1986.0
Daniel Costinett,University of Tennessee,https://www.eecs.utk.edu/people/faculty/dcostine,7c5zd_4AAAAJ,4623.0,32.0,2009.0
Max Schuchard,University of Tennessee,https://web.eecs.utk.edu/~mschucha/index.html,,,,
Nicole McFarlane,University of Tennessee,http://www.eecs.utk.edu/people/faculty/mcf,,,,
Scott Ruoti,University of Tennessee,https://isrl.byu.edu/researchers/scott-ruoti,u38Uv3QAAAAJ,925.0,16.0,2012.0
Leon M. Tolbert,University of Tennessee,http://web.eecs.utk.edu/~tolbert,c7PEGQUAAAAJ,31722.0,88.0,1992.0
Gregory Peterson,University of Tennessee,https://www.eecs.utk.edu/people/faculty/gdp,3Zg-7o4AAAAJ,5784.0,25.0,1992.0
Lynne E. Parker,University of Tennessee,http://web.eecs.utk.edu/~leparker,XxGyUpAAAAAJ,12507.0,52.0,
Bruce J. MacLennan,University of Tennessee,http://web.eecs.utk.edu/~mclennan,A14DflkAAAAJ,3342.0,27.0,1973.0
Michael R. Jantz,University of Tennessee,http://web.eecs.utk.edu/~mrjantz,ACtrMMgAAAAJ,244.0,9.0,2010.0
Gong Gu,University of Tennessee,http://web.eecs.utk.edu/~ggu1,A2-AVVcAAAAJ,11612.0,46.0,1996.0
James S. Plank,University of Tennessee,http://web.eecs.utk.edu/~plank,pH3eZOQAAAAJ,12470.0,36.0,1994.0
Micah Beck,University of Tennessee,http://web.eecs.utk.edu/~mbeck,oAMW4OEAAAAJ,3481.0,24.0,1964.0
Qing Cao,University of Tennessee,http://web.eecs.utk.edu/~qcao1,7WYOBKkAAAAJ,7924.0,39.0,2004.0
Michael W. Berry,University of Tennessee,http://web.eecs.utk.edu/~mberry,TrSq1u8AAAAJ,3960.0,18.0,2001.0
