name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Natalia Villanueva-Rosales,University of Texas - El Paso,https://www.utep.edu/newsfeed/campus/Smart-Cities-Grant-Fosters-International-Collaborations.html,,,,
Saeid Tizpaz-Niari,University of Texas - El Paso,https://sites.google.com/a/colorado.edu/saeid-tizpaz-niari,eQnKAqsAAAAJ,63.0,6.0,2013.0
Luc Longpré,University of Texas - El Paso,http://faculty.utep.edu/longpre,,,,
Omar Badreddin,University of Texas - El Paso,http://hb2504.utep.edu/vitas/obbadreddin.pdf,xAXp0WYAAAAJ,1020.0,18.0,
Nigel Ward,University of Texas - El Paso,http://www.cs.utep.edu/nigel,ncnkwCMAAAAJ,2555.0,25.0,1988.0
Christopher Kiekintveld,University of Texas - El Paso,http://www.cs.utep.edu/kiekintveld,-0LFOnYAAAAJ,8443.0,36.0,2004.0
Vladik Kreinovich,University of Texas - El Paso,http://hb2504.utep.edu/vitas/vladik.pdf,iern2agAAAAJ,18562.0,55.0,1953.0
Ann Q. Gates,University of Texas - El Paso,http://faculty.utep.edu/Default.aspx?alias=faculty.utep.edu/agates,SfdnQ60AAAAJ,1740.0,21.0,1990.0
Yoonsik Cheon,University of Texas - El Paso,http://www.cs.utep.edu/cheon,lxaj4-sAAAAJ,3936.0,26.0,1991.0
Olac Fuentes,University of Texas - El Paso,http://cs.utep.edu/ofuentes,NdcgT00AAAAJ,2213.0,21.0,1992.0
Martine Ceberio,University of Texas - El Paso,http://utep.academia.edu/MartineCeberio,uI_FmL8AAAAJ,829.0,15.0,2000.0
David Novick,University of Texas - El Paso,http://utep.academia.edu/DavidNovick,XfQ7rDoAAAAJ,2760.0,23.0,
Salamah Salamah,University of Texas - El Paso,http://www.cs.utep.edu/isalamah,YnVRhnkAAAAJ,258.0,8.0,1999.0
