name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Brent R. Waters,University of Texas at Austin,http://www.cs.utexas.edu/~bwaters,VEKxHOAAAAAJ,58027.0,81.0,2003.0
Vijaya Ramachandran,University of Texas at Austin,https://www.cs.utexas.edu/~vlr,thajK3gAAAAJ,6767.0,41.0,1979.0
Robert S. Boyer,University of Texas at Austin,https://www.cs.utexas.edu/users/boyer,Z-49YFYAAAAJ,331.0,10.0,1974.0
Eric C. Price,University of Texas at Austin,http://www.cs.utexas.edu/~ecprice,UiKzYNMAAAAJ,1582.0,19.0,1980.0
Aloysius K. Mok,University of Texas at Austin,https://www.cs.utexas.edu/users/mok,M6urChQAAAAJ,15295.0,49.0,
Warren A. Hunt Jr.,University of Texas at Austin,http://www.cs.utexas.edu/users/hunt,D6fp6_cAAAAJ,3080.0,31.0,1985.0
Hovav Shacham,University of Texas at Austin,http://cseweb.ucsd.edu/~hovav,E0NwK2AAAAAJ,31635.0,47.0,2001.0
Katrin Erk,University of Texas at Austin,http://www.katrinerk.com,v7kFHRoAAAAJ,4853.0,37.0,1996.0
E. Allen Emerson,University of Texas at Austin,http://www.cs.utexas.edu/~emerson,,,,
Simon S. Lam,University of Texas at Austin,https://www.cs.utexas.edu/users/lam,0XV1sFsAAAAJ,14041.0,53.0,1973.0
Amy Pavel,University of Texas at Austin,https://amypavel.com,bM4pEGoAAAAJ,1003.0,15.0,2013.0
Don Fussell,University of Texas at Austin,http://www.cs.utexas.edu/users/fussell,,,,
Lili Qiu,University of Texas at Austin,https://www.cs.utexas.edu/~lili,16posrQAAAAJ,15648.0,61.0,1983.0
C. Greg Plaxton,University of Texas at Austin,https://www.cs.utexas.edu/users/plaxton,,,,
Etienne Vouga,University of Texas at Austin,http://www.cs.utexas.edu/users/evouga,Pm23sq4AAAAJ,2287.0,20.0,1996.0
Robert A. van de Geijn,University of Texas at Austin,http://cs.utexas.edu/~rvdg,62GM5XcAAAAJ,10905.0,54.0,1986.0
Dana H. Ballard,University of Texas at Austin,https://www.cs.utexas.edu/~dana,67aYFTQAAAAJ,46443.0,67.0,
James Bornholt,University of Texas at Austin,https://www.cs.utexas.edu/~bornholt,nuwXTh4AAAAJ,1368.0,17.0,2012.0
Emmett Witchel,University of Texas at Austin,https://www.cs.utexas.edu/users/witchel,k4oSgRkAAAAJ,8248.0,40.0,1995.0
David J. Wu,University of Texas at Austin,https://www.cs.utexas.edu/~dwu4,sow8PQYAAAAJ,4208.0,23.0,2011.0
Bruce W. Porter,University of Texas at Austin,https://www.cs.utexas.edu/users/porter,k5c56_wAAAAJ,4820.0,33.0,1980.0
Yuke Zhu,University of Texas at Austin,https://www.cs.utexas.edu/~yukez,mWGyYMsAAAAJ,9206.0,28.0,2012.0
Qiang Liu,University of Texas at Austin,https://www.cs.utexas.edu/~lqiang,XEx1fZkAAAAJ,5557.0,38.0,2010.0
Vladimir Lifschitz,University of Texas at Austin,https://www.cs.utexas.edu/~vl,FuOqWNEAAAAJ,24699.0,63.0,1967.0
Vijay Chidambaram,University of Texas at Austin,http://www.cs.utexas.edu/~vijay,,,,
David Z. Pan,University of Texas at Austin,http://users.ece.utexas.edu/~dpan,3aLlroEAAAAJ,12357.0,56.0,1997.0
J Strother Moore,University of Texas at Austin,https://www.cs.utexas.edu/users/moore,91fyr68AAAAJ,14873.0,47.0,1967.0
Aditya Akella,University of Texas at Austin,http://pages.cs.wisc.edu/~akella,d_rxnzAAAAAJ,17309.0,57.0,2002.0
Dana Moshkovitz,University of Texas at Austin,https://people.csail.mit.edu/dmoshkov,r6ifxUIAAAAJ,1263.0,16.0,2006.0
Yin Zhang,University of Texas at Austin,http://www.cs.utexas.edu/~yzhang,DSEH8XsAAAAJ,49239.0,95.0,
Anna Gál,University of Texas at Austin,https://www.cs.utexas.edu/~panni,7079Jy8AAAAJ,712.0,12.0,2004.0
