name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Shuang Hao,University of Texas at Dallas,http://utdallas.edu/~shao,FgpHWKYAAAAJ,1469.0,15.0,2007.0
Ovidiu Daescu,University of Texas at Dallas,http://www.utdallas.edu/~daescu,,,,
Ding-Zhu Du,University of Texas at Dallas,http://www.utdallas.edu/~dxd056000,oAaMfQsAAAAJ,19841.0,65.0,1981.0
Andras Farago,University of Texas at Dallas,http://www.utdallas.edu/~farago,,,,
Benjamin Adam Raichel,University of Texas at Dallas,http://www.utdallas.edu/~bar150630,6Qyzi1cAAAAJ,2745.0,22.0,1982.0
Ivan Hal Sudborough,University of Texas at Dallas,https://explorer.utdallas.edu/editprofile.php?pid=13187,,,,
Xiaohu Guo,University of Texas at Dallas,https://www.utdallas.edu/~xxg061000,Y4SdsvsAAAAJ,1857.0,25.0,2003.0
Jessica Ouyang,University of Texas at Dallas,https://personal.utdallas.edu/~jessica.ouyang,fQ6T_eAAAAAJ,110.0,5.0,2014.0
Feng Chen,University of Texas at Dallas,https://personal.utdallas.edu/~fxc190007,KOQ-SSYAAAAJ,2986.0,26.0,2008.0
Neeraj Mittal,University of Texas at Dallas,https://www.utdallas.edu/~neerajm,,,,
Subbayyan Venkatesan,University of Texas at Dallas,https://www.utdallas.edu/~venky,l80_pjYAAAAJ,2019.0,21.0,1993.0
Balaji Raghavachari,University of Texas at Dallas,https://www.utdallas.edu/~rbk,,,,
Sriraam Natarajan,University of Texas at Dallas,http://utdallas.edu/~sxn177430,llF8XbMAAAAJ,3351.0,29.0,1965.0
Kyle Fox,University of Texas at Dallas,http://utdallas.edu/~kyle.fox,7TKz5UgAAAAJ,520.0,15.0,2000.0
Sergei Bespamyatnikh,University of Texas at Dallas,https://www.utdallas.edu/~besp,t0j3HjcAAAAJ,1474.0,20.0,1998.0
Yvo Desmedt,University of Texas at Dallas,http://www.utdallas.edu/~Yvo.Desmedt,,,,
Shiyi Wei,University of Texas at Dallas,http://utdallas.edu/~swei,,,,
R. Chandrasekaran,University of Texas at Dallas,https://www.utdallas.edu/~chandra,AkvAUzkAAAAJ,9091.0,49.0,1971.0
Andrian Marcus,University of Texas at Dallas,http://www.utdallas.edu/~amarcus,ZZiaPdYAAAAJ,12826.0,58.0,2000.0
Yang Liu,University of Texas at Dallas,http://www.hlt.utdallas.edu/~yangl,,,,
Alvaro A. Cárdenas,University of Texas at Dallas,http://www.utdallas.edu/~alvaro.cardenas,zbubH9oAAAAJ,8779.0,40.0,2002.0
Bhavani M. Thuraisingham,University of Texas at Dallas,http://www.utdallas.edu/~bhavani.thuraisingham,o_xUNWkAAAAJ,15535.0,65.0,1983.0
Lawrence Chung,University of Texas at Dallas,http://www.utdallas.edu/~chung,pFRPgsIAAAAJ,10720.0,37.0,1987.0
Vibhav Gogate,University of Texas at Dallas,http://www.hlt.utdallas.edu/~vgogate,pm_dg3cAAAAJ,2116.0,26.0,2004.0
Cong Liu,University of Texas at Dallas,http://www.utdallas.edu/~cxl137330,8bcbEOAAAAAJ,10769.0,45.0,1968.0
Paul A. Fishwick,University of Texas at Dallas,http://www.utdallas.edu/atec/fishwick,-GT5PAkAAAAJ,8631.0,45.0,1982.0
Vincent Ng,University of Texas at Dallas,http://www.hlt.utdallas.edu/~vince,4UyniXYAAAAJ,8420.0,49.0,1999.0
W. Eric Wong,University of Texas at Dallas,http://www.utdallas.edu/~ewong,d9Y04UwAAAAJ,9683.0,47.0,1992.0
Nicholas Ruozzi,University of Texas at Dallas,http://cs.utdallas.edu/people/faculty/nicholas-ruozzi,kzmSnEQAAAAJ,357.0,12.0,2008.0
Wei Yang,University of Texas at Dallas,http://web.engr.illinois.edu/~weiyang3,CEVHpQUAAAAJ,2137.0,17.0,2013.0
D. T. Huynh,University of Texas at Dallas,http://www.utdallas.edu/~huynh,LLcgKtUAAAAJ,485.0,11.0,2002.0
Kendra Cooper,University of Texas at Dallas,https://www.utdallas.edu/~kcooper,mwSaet0AAAAJ,1616.0,23.0,1992.0
S. Q. Zheng,University of Texas at Dallas,http://www.utdallas.edu/~sizheng,,,,
Rym Mili,University of Texas at Dallas,http://www.utdallas.edu/~rmili,,,,
Sanda M. Harabagiu,University of Texas at Dallas,http://www.utdallas.edu/~sanda,,,,
Tien N. Nguyen,University of Texas at Dallas,http://www.utdallas.edu/~tien.n.nguyen,l4QhOVoAAAAJ,8852.0,48.0,1961.0
Kevin W. Hamlen,University of Texas at Dallas,http://www.utdallas.edu/~hamlen,Q2Fd_XYAAAAJ,4020.0,31.0,1998.0
Zygmunt J. Haas,University of Texas at Dallas,http://www.utdallas.edu/~zjh130030,tk8qFe0AAAAJ,33958.0,77.0,1987.0
Farokh B. Bastani,University of Texas at Dallas,https://www.utdallas.edu/~bastani,,,,
I-Ling Yen,University of Texas at Dallas,http://www.utdallas.edu/~ilyen,,,,
Ravi Prakash,University of Texas at Dallas,http://www.utdallas.edu/~ravip,MJyWxOYAAAAJ,8605.0,38.0,1992.0
Haim Schweitzer,University of Texas at Dallas,http://www.utdallas.edu/~haim,lXvWihQAAAAJ,986.0,16.0,1983.0
Weili Wu,University of Texas at Dallas,http://www.utdallas.edu/~weiliwu,Flmif3gAAAAJ,9632.0,44.0,1998.0
Rishabh K. Iyer,University of Texas at Dallas,https://cs.utdallas.edu/people/faculty/iyer-rishabh,l_XxJ1kAAAAJ,1820.0,21.0,2008.0
Gopal Gupta,University of Texas at Dallas,http://www.utdallas.edu/~gupta,-Jbd9DsAAAAJ,6831.0,37.0,1973.0
Dan I. Moldovan,University of Texas at Dallas,http://cs.utdallas.edu/people/faculty/moldovan-dan,gNnF8y4AAAAJ,668.0,14.0,2002.0
Latifur Khan,University of Texas at Dallas,https://www.utdallas.edu/~lkhan,8Qt10f4AAAAJ,12576.0,62.0,1993.0
B. Prabhakaran,University of Texas at Dallas,http://www.utdallas.edu/~praba,4yki88YAAAAJ,3705.0,31.0,1992.0
Kang Zhang,University of Texas at Dallas,http://www.utdallas.edu/~kzhang,cdzVY_QAAAAJ,55541.0,98.0,1985.0
Murat Kantarcioglu,University of Texas at Dallas,http://www.utdallas.edu/~muratk,qXb4xQMAAAAJ,13794.0,55.0,2001.0
Kangkook Jee,University of Texas at Dallas,https://kangkookjee.github.io,x-ApqMUAAAAJ,1016.0,12.0,2010.0
Milind Dawande,University of Texas at Dallas,http://www.utdallas.edu/~milind,Bri9R_4AAAAJ,4841.0,33.0,
Chung Hwan Kim,University of Texas at Dallas,https://chungkim.io,zyTOpUQAAAAJ,448.0,9.0,2013.0
Kamil Saraç,University of Texas at Dallas,http://www.utdallas.edu/~ksarac,,,,
Jason Jue,University of Texas at Dallas,http://www.utdallas.edu/~jjue,8EDESdwAAAAJ,11579.0,45.0,1996.0
Ivor P. Page,University of Texas at Dallas,http://www.utdallas.edu/~ivor,,,,
Simeon C. Ntafos,University of Texas at Dallas,http://www.utdallas.edu/~ntafos,,,,
Jorge Arturo Cobb,University of Texas at Dallas,http://www.utdallas.edu/~jcobb,V0b8cEcAAAAJ,1009.0,18.0,1991.0
