name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Hirosuke Yamamoto,University of Tokyo,http://hirosuke.it.k.u-tokyo.ac.jp,pYWFHvoAAAAJ,3192.0,30.0,1968.0
Hiroshi Esaki,University of Tokyo,http://hiroshi1.hongo.wide.ad.jp/hiroshi,,,,
Hiroshi Nakagawa,University of Tokyo,http://www.r.dl.itc.u-tokyo.ac.jp/~nakagawa/English.html,MZni93cAAAAJ,1486.0,16.0,1960.0
Junya Honda,University of Tokyo,http://www.it.k.u-tokyo.ac.jp/~honda/index_e.html,Aw8OrxQAAAAJ,1321.0,19.0,2008.0
Kanta Matsuura,University of Tokyo,http://kmlab.iis.u-tokyo.ac.jp/kanta_matsuura.html,,,,
Ryohei Kanzaki,University of Tokyo,http://www.rcast.u-tokyo.ac.jp/research/people/staff-kanzaki_ryohei_en.html,91sdymMAAAAJ,5285.0,42.0,1983.0
Hirokazu Takahashi,University of Tokyo,http://www.rcast.u-tokyo.ac.jp/research/people/staff-takahashi_hirokazu_en.html,,,,
Michitaka Hirose,University of Tokyo,http://www.rcast.u-tokyo.ac.jp/research/people/staff-hirose_michitaka_en.html,ddx63nwAAAAJ,8375.0,40.0,1982.0
Yinqiang Zheng,University of Tokyo,https://www.ai.u-tokyo.ac.jp/ja/members/yqzheng,JD-5DKcAAAAJ,2053.0,25.0,2008.0
Kaoru Sezaki,University of Tokyo,https://www.k.u-tokyo.ac.jp/pros-e/person/kaoru_sezaki/kaoru_sezaki.htm,hXYgAmEAAAAJ,5433.0,28.0,1966.0
Kazuyuki Aihara,University of Tokyo,https://www.iis.u-tokyo.ac.jp/en/research/staff/kazuyuki-aihara,,,,
Noboru Kunihiro,University of Tokyo,https://www.k.u-tokyo.ac.jp/pros-e/person/noboru_kunihiro/noboru_kunihiro.htm,qYVEJqEAAAAJ,1913.0,25.0,1997.0
Taiji Suzuki,University of Tokyo,http://ibis.t.u-tokyo.ac.jp/suzuki,x8osrBsAAAAJ,7613.0,36.0,
Yoshihiro Kawahara,University of Tokyo,http://kawahara.akg.t.u-tokyo.ac.jp,id0WgmwAAAAJ,4451.0,32.0,1961.0
Mary Inaba,University of Tokyo,http://akashi.ci.i.u-tokyo.ac.jp/mary/index-e.html,,,,
Takashi Kohno,University of Tokyo,http://www.sat.t.u-tokyo.ac.jp/~kohno,0ls8AgsAAAAJ,679.0,14.0,1994.0
