name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Kenji Suzuki,University of Tsukuba,http://www.ai.iit.tsukuba.ac.jp/kenji,,,,
Sayan Sarcar,University of Tsukuba,https://sayansarcar.github.io/index.html,bIkNGO4AAAAJ,466.0,12.0,2010.0
Fumihide Tanaka,University of Tsukuba,http://fumihide-tanaka.org/lab/en/members.html,,,,
Yoshihiro Kuroda,University of Tsukuba,https://www.lelab.jp/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC/%E7%95%A5%E6%AD%B4,Q5Hmc_oAAAAJ,720.0,14.0,1966.0
Yoichi Ochiai,University of Tsukuba,https://digitalnature.slis.tsukuba.ac.jp/2018/09/yoichi-ochiai,obhH0jkAAAAJ,1393.0,18.0,1977.0
Kazuhiko Kato,University of Tsukuba,http://www.osss.cs.tsukuba.ac.jp/kato,P6Weh7AAAAAJ,2182.0,23.0,
Osamu Tatebe,University of Tsukuba,http://www.hpcs.cs.tsukuba.ac.jp/~tatebe/index.html,xo0xrM4AAAAJ,1997.0,22.0,1993.0
Takashi Inui,University of Tsukuba,http://www.nlp.mibel.cs.tsukuba.ac.jp/~inui/en,K4kblEwAAAAJ,1481.0,16.0,1999.0
Masataka Goto,University of Tsukuba,https://staff.aist.go.jp/m.goto/index-j.html,BkZggZkAAAAJ,15709.0,56.0,1983.0
Hiromi Mochiyama,University of Tsukuba,http://www.frlab.iit.tsukuba.ac.jp/member/motiyama.html,,,,
Takeshi Yamada,University of Tsukuba,http://www.mmlab.cs.tsukuba.ac.jp/~takeshi/english,nHCB2CkAAAAJ,5120.0,29.0,1978.0
Satoshi Iizuka,University of Tsukuba,http://iizuka.cs.tsukuba.ac.jp/index_eng.html,fncZHTUAAAAJ,2918.0,15.0,2011.0
Yoshihiro Kanamori,University of Tsukuba,http://kanamori.cs.tsukuba.ac.jp,VBbbbrAAAAAJ,685.0,13.0,1996.0
Fumio Machida,University of Tsukuba,https://www.cs.tsukuba.ac.jp/~machida/en,l6wFyNMAAAAJ,1866.0,23.0,2004.0
Keiichi Zempo,University of Tsukuba,http://www.xpercept.aclab.esys.tsukuba.ac.jp/index.php/about/zempo,wExHgv4AAAAJ,197.0,7.0,2010.0
Kazuto Fukuchi,University of Tsukuba,https://kfukuchi.me,496_ICsAAAAJ,149.0,6.0,2014.0
Jun'ichi Hoshino,University of Tsukuba,http://www.entcomp.iit.tsukuba.ac.jp/jhoshino,,,,
Jun Sakuma,University of Tsukuba,https://www.mdl.cs.tsukuba.ac.jp,v5emswQAAAAJ,3578.0,28.0,1997.0
Akiya Kamimura,University of Tsukuba,https://staff.aist.go.jp/kamimura.a/dsysdl/index.html,6NFwDKEAAAAJ,2978.0,21.0,1996.0
Taku Hachisu,University of Tsukuba,http://hachisu.net/en/profile,mldMyOsAAAAJ,582.0,13.0,2010.0
Takehito Utsuro,University of Tsukuba,http://nlp.iit.tsukuba.ac.jp/member/utsuro/home.html,,,,
Hidehiko Shishido,University of Tsukuba,https://sites.google.com/image.iit.tsukuba.ac.jp/shishido,,,,
Yoshinari Kameda,University of Tsukuba,http://www.kameda-lab.org/index-e.html,YaVcM9cAAAAJ,2170.0,22.0,1992.0
Hirotaka Osawa,University of Tsukuba,http://hiroosa.com/biography,HpypdTcAAAAJ,1183.0,17.0,1989.0
Toshiyuki Amagasa,University of Tsukuba,http://www.kde.cs.tsukuba.ac.jp/~amagasa/hikifarm/home/?IndexE,L4hdfUUAAAAJ,1941.0,18.0,1997.0
Itaru Kitahara,University of Tsukuba,https://sites.google.com/image.iit.tsukuba.ac.jp/kitahara,mphxDdYAAAAJ,1778.0,21.0,1996.0
Yasushi Shinjo,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~yas,IkaonwkAAAAJ,678.0,10.0,1990.0
Youhei Akimoto,University of Tsukuba,https://sites.google.com/site/youheiakimotospage,m7OXdsUAAAAJ,1386.0,22.0,2007.0
Akira Imakura,University of Tsukuba,https://researchmap.jp/imakura?lang=en,wPEcfhkAAAAJ,546.0,11.0,2007.0
Seung-Hee Lee,University of Tsukuba,https://kansei.design/en/author/seunghee-lee,,,,
Hiroshi Unno,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~uhiro,H73eAAsAAAAJ,697.0,14.0,2006.0
Hiroyuki Kitagawa,University of Tsukuba,http://www.kde.cs.tsukuba.ac.jp/~kitagawa/index.html,dJccY-UAAAAJ,4865.0,26.0,1979.0
Fumio Kanehiro,University of Tsukuba,https://staff.aist.go.jp/f-kanehiro,VsmhlM8AAAAJ,16470.0,61.0,1993.0
Shinsuke Kondoh,University of Tsukuba,https://staff.aist.go.jp/kondou-shinsuke,,,,
Ikkaku Kawaguchi,University of Tsukuba,https://sites.google.com/view/ikkakukawaguchi/e-home,,,,
Yuki Hashimoto,University of Tsukuba,https://sites.google.com/site/yhrips,,,,
Moritoshi Yasunaga,University of Tsukuba,http://www.islab.cs.tsukuba.ac.jp/~yasunaga/EnglishWebPage/index.html,,,,
Yohei Seki,University of Tsukuba,https://trios.tsukuba.ac.jp/researcher/0000002520,f65jursAAAAJ,885.0,14.0,1980.0
Sho Tsugawa,University of Tsukuba,http://www.mibel.cs.tsukuba.ac.jp/~s-tugawa/index.html,S62_6nIAAAAJ,677.0,11.0,2008.0
Ryusuke Sagawa,University of Tsukuba,https://staff.aist.go.jp/ryusuke.sagawa,aqKxVlQAAAAJ,3173.0,29.0,1998.0
Mizuki Oka,University of Tsukuba,https://websci.cs.tsukuba.ac.jp/member/mizuki-oka,,,,
Akira Nukada,University of Tsukuba,https://www.hpcs.cs.tsukuba.ac.jp/~nukada,vjE9JnYAAAAJ,2017.0,20.0,1992.0
Yoshio Matsumoto,University of Tsukuba,https://staff.aist.go.jp/yoshio.matsumoto/profile/biography_e.html,dXvBoPYAAAAJ,4304.0,35.0,1974.0
Makoto P. Kato,University of Tsukuba,https://www.mpkato.net,Gr2Q2dQAAAAJ,914.0,19.0,2008.0
Koji Hasebe,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~hasebe,,,,
Akihisa Ohya,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~ohya/index_eng.html,FcWCsSgAAAAJ,2788.0,27.0,1987.0
Yukino Baba,University of Tsukuba,http://yukinobaba.jp,6vT7zVEAAAAJ,734.0,15.0,2010.0
Kazuhiro Fukui,University of Tsukuba,http://www.cvlab.cs.tsukuba.ac.jp/~kfukui/english/indexE.html,sHcEkmAAAAAJ,2862.0,20.0,1990.0
Yoshiyuki Sankai,University of Tsukuba,https://trios.tsukuba.ac.jp/researcher/0000001020,,,,
Ayanori Yorozu,University of Tsukuba,https://trios.tsukuba.ac.jp/en/researcher/0000004390,,,,
Takeshi Kurata,University of Tsukuba,https://staff.aist.go.jp/t.kurata/indexj.html,B_UBk6wAAAAJ,3181.0,26.0,1995.0
Mitsuhisa Sato,University of Tsukuba,http://www.hpcs.cs.tsukuba.ac.jp/~msato,vRRebPgAAAAJ,6575.0,37.0,1970.0
Tetsuya Sakurai,University of Tsukuba,http://www.cs.tsukuba.ac.jp/~sakurai/index.html,9gqMviwAAAAJ,2876.0,25.0,1965.0
Ikushi Yoda,University of Tsukuba,https://staff.aist.go.jp/i-yoda,,,,
Mikio Yamamoto,University of Tsukuba,http://www.mibel.cs.tsukuba.ac.jp/~myama,NUGLzb0AAAAJ,1676.0,16.0,1992.0
Eiichi Yoshida,University of Tsukuba,https://staff.aist.go.jp/e.yoshida,XWZydeMAAAAJ,8036.0,46.0,1993.0
Yuki Endo,University of Tsukuba,http://www.cgg.cs.tsukuba.ac.jp/~endo/index_en.html,,,,
