name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Manfred Reichert,University of Ulm,https://www.uni-ulm.de/en/in/iui-dbis/team/staff/manfred-reichert,BHDNcesAAAAJ,24324.0,78.0,1991.0
Franz J. Hauck,University of Ulm,https://www.uni-ulm.de/in/vs/inst/team/franz-hauck,zV3HdFQAAAAJ,1846.0,23.0,1993.0
Heiko Neumann,University of Ulm,http://www.informatik.uni-ulm.de/ni/mitarbeiter/HNeumann/index.html,0NbVSbMAAAAJ,4499.0,36.0,1981.0
Felix Lindner,University of Ulm,https://www.uni-ulm.de/in/ki/inst/staff/jun-prof-dr-felix-lindner,Tk2X5SYAAAAJ,289.0,9.0,2008.0
Michael Glaß,University of Ulm,https://www.uni-ulm.de/glass,HusDvQsAAAAJ,2403.0,25.0,2007.0
Thom W. Frühwirth,University of Ulm,http://www.informatik.uni-ulm.de/pm/fileadmin/pm/home/fruehwirth,5vyOl7IAAAAJ,4862.0,35.0,1986.0
Jacobo Torán,University of Ulm,https://www.uni-ulm.de/toran1,9tCatQwAAAAJ,2671.0,26.0,1986.0
Uwe Schöning,University of Ulm,https://www.uni-ulm.de/schoening,hDW4Ak8AAAAJ,6586.0,38.0,1981.0
Frank Slomka,University of Ulm,https://www.uni-ulm.de/in/es/mitarbeiter/prof-dr-frank-slomka,XF3AgJIAAAAJ,1448.0,18.0,1997.0
Matthias Tichy,University of Ulm,https://www.tichy.de,hnc9E2AAAAAJ,2953.0,26.0,2001.0
Enno Ohlebusch,University of Ulm,https://www.uni-ulm.de/ohlebusch,0aRMP0AAAAAJ,5311.0,32.0,1991.0
Timo Ropinski,University of Ulm,https://www.uni-ulm.de/in/mi/institut/mitarbeiter/tr,FuY-lbcAAAAJ,3481.0,31.0,1990.0
Enrico Rukzio,University of Ulm,https://www.uni-ulm.de/in/mi/institut/mitarbeiter/er,sJ0vjg0AAAAJ,6453.0,41.0,1994.0
Susanne Biundo,University of Ulm,https://www.uni-ulm.de/in/ki/inst/staff/susanne-biundo,k6evC3YAAAAJ,2595.0,30.0,1984.0
Birte Glimm,University of Ulm,https://www.uni-ulm.de/in/ki/inst/staff/birte-glimm,hymHrFcAAAAJ,2985.0,23.0,2004.0
Daniel A. Braun,University of Ulm,https://www.uni-ulm.de/in/neuroinformatik/institut/hidden/d-braun,sCniyigAAAAJ,2331.0,22.0,2005.0
Stefan Wesner,University of Ulm,https://www.uni-ulm.de/in/omi/institut/persons/swesner,9pviJ0oAAAAJ,1517.0,17.0,1989.0
Frank Kargl,University of Ulm,https://www.uni-ulm.de/in/vs/inst/team/frank-kargl,CqrRSEYAAAAJ,9756.0,48.0,1999.0
