name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Martin Berzins,University of Utah,https://faculty.utah.edu/u0028351-MARTIN_BERZINS/research/index.hml,RjxJExgAAAAJ,5325.0,38.0,1970.0
Ken S. Stevens,University of Utah,http://www.ece.utah.edu/~kstevens,WeRUynMAAAAJ,2193.0,26.0,1983.0
Tamara Denning,University of Utah,https://www.cs.utah.edu/~tdenning,nSMS5H4AAAAJ,1838.0,17.0,2006.0
Blair D. Sullivan,University of Utah,https://www.cs.utah.edu/~sullivan/#!/about,0xmFnB4AAAAJ,913.0,17.0,
Richard F. Riesenfeld,University of Utah,https://www.cs.utah.edu/~rfr,,,,
William Thompson,University of Utah,https://www.cs.utah.edu/~thompson,O44rjiMAAAAJ,27484.0,56.0,1986.0
Joseph L. Zachary,University of Utah,https://www.cs.utah.edu/~zachary,hOCBMzIAAAAJ,18709.0,51.0,1996.0
Jake J. Abbott,University of Utah,https://www.mech.utah.edu/directory/faculty/jake-abbott,,,,
Shandian Zhe,University of Utah,https://www.cs.utah.edu/~zhe,AVZXgyMAAAAJ,617.0,13.0,2010.0
Pavel Panchekha,University of Utah,https://pavpanchekha.com,dIOCe1UAAAAJ,894.0,10.0,2013.0
Ladislav Kavan,University of Utah,https://www.cs.utah.edu/~ladislav,62RXlNoAAAAJ,4062.0,27.0,2003.0
Mark Christensen van Langeveld,University of Utah,https://faculty.utah.edu/u0319743-MARK_C._VAN_LANGEVELD/biography/index.hml,,,,
Mike Kirby,University of Utah,https://www.cs.utah.edu/~kirby,IATz8BMAAAAJ,8690.0,50.0,1976.0
Craig Caldwell,University of Utah,https://faculty.utah.edu/u0681115-CRAIG_B_CALDWELL/teaching/index.hml,,,,
Thomas Schmid,University of Utah,https://faculty.utah.edu/u0729347-Thomas_Schmid/biography/index.hml,puOEoqoAAAAJ,40958.0,74.0,1985.0
Miriah D. Meyer,University of Utah,https://www.cs.utah.edu/~miriah,Yk5RpxoAAAAJ,65.0,4.0,2014.0
Richard Brown,University of Utah,https://faculty.utah.edu/u0456963-RICHARD_B_BROWN/research/index.hml%3Bjsessionid=745e53f2851f901651d427dce28e:cgFJUMHsaTyTLw5p,0bOGwxoAAAAJ,40632.0,98.0,
Zvonimir Rakamaric,University of Utah,http://www.zvonimir.info,Ui1q1jkAAAAJ,2168.0,26.0,2002.0
Alexander Lex,University of Utah,http://alexander-lex.net,JFNLCUcAAAAJ,4195.0,24.0,2009.0
Ryan Stutsman,University of Utah,https://faculty.utah.edu/u0982239-Ryan_Stutsman/teaching/index.hml,pyZ_FH4AAAAJ,3291.0,24.0,2005.0
Erik Brunvand,University of Utah,https://www.cs.utah.edu/~elb,Hkw7KOoAAAAJ,2231.0,25.0,1984.0
Pierre-Emmanuel Gaillardon,University of Utah,https://faculty.utah.edu/u6001662-PIERRE-EMMANUEL_GAILLARDON/research/index.hml,Hlc_2eEAAAAJ,4960.0,37.0,2009.0
R. Michael Young,University of Utah,https://faculty.utah.edu/u6006841-ROBERT_MICHAEL_YOUNG/research/index.hml,,,,
Mingyue Jie,University of Utah,https://my.ece.utah.edu/~u6007330/index.html,rWLfxVgAAAAJ,3310.0,23.0,2007.0
Chris J. Myers,University of Utah,https://async.ece.utah.edu/~myers,PewEZtYAAAAJ,5588.0,37.0,1989.0
Qingyao Ai,University of Utah,http://ir.aiqingyao.org/home,UKqaI5IAAAAJ,2974.0,23.0,2015.0
Elaine Cohen,University of Utah,https://www.cs.utah.edu/~cohen,6lNd480AAAAJ,5801.0,36.0,2004.0
Jacobus E. van der Merwe,University of Utah,https://www.cs.utah.edu/~kobus,PEki4LgAAAAJ,11643.0,55.0,1994.0
Ganesh Gopalakrishnan,University of Utah,https://www.cs.utah.edu/~ganesh,uvoOgnwAAAAJ,5522.0,40.0,1983.0
Charles D. Hansen,University of Utah,https://www.cs.utah.edu/~hansen,UqyaAQQAAAAJ,13128.0,58.0,1980.0
Sneha Kumar Kasera,University of Utah,https://www.cs.utah.edu/~kasera,XeYCNAwAAAAJ,5386.0,32.0,1995.0
Robert R. Kessler,University of Utah,https://www.cs.utah.edu/~kessler,j9XJD8QAAAAJ,3846.0,21.0,1973.0
Marcel Prastawa,University of Utah,https://faculty.utah.edu/bytes/curriculumVitae.hml?id=u0583648,avpOgS4AAAAJ,8369.0,28.0,2003.0
Al Davis,University of Utah,http://www.cs.utah.edu/~ald,yY-df4UAAAAJ,21086.0,70.0,1976.0
Masood Parvania,University of Utah,https://faculty.utah.edu/u6001488-Masood_Parvania/hm/index.hml,p1OfBN4AAAAJ,3208.0,28.0,2010.0
Mu Zhang,University of Utah,https://www.cs.utah.edu/~muzhang,UFiuFf8AAAAJ,1438.0,14.0,2010.0
Sameer Patil,University of Utah,https://www.sameerpatil.com,JGEniHoAAAAJ,1769.0,21.0,2000.0
Manish Parashar,University of Utah,https://www.sci.utah.edu/people/parashar.html,SCM35lMAAAAJ,15878.0,62.0,1992.0
Mahdi Nazm Bojnordi,University of Utah,http://www.cs.utah.edu/~bojnordi,NSwUmTMAAAAJ,664.0,11.0,2005.0
Tamara Carla Bidone,University of Utah,https://www.sci.utah.edu/people/tamarabidone.html,xdW1xscAAAAJ,472.0,11.0,2010.0
Jeffrey A. Weiss,University of Utah,https://www.sci.utah.edu/people/weiss.html,YtFi-KkAAAAJ,12800.0,61.0,1990.0
Vivek Srikumar,University of Utah,http://svivek.com,TsTUfOIAAAAJ,4494.0,26.0,2007.0
Ross T. Whitaker,University of Utah,http://www.cs.utah.edu/~whitaker,FaOZ6EMAAAAJ,16361.0,66.0,1990.0
Alan Kuntz,University of Utah,http://www.cs.utah.edu/~adk,7uZPiGoAAAAJ,307.0,11.0,2013.0
Rogelio Cardona-Rivera,University of Utah,http://rogel.io,04bZH_kAAAAJ,498.0,13.0,2011.0
Aditya Bhaskara,University of Utah,http://www.cs.utah.edu/~bhaskara,tqxTaiAAAAAJ,1673.0,16.0,2010.0
Chris R. Johnson,University of Utah,http://www.cs.utah.edu/~crj,,,,
Chris R. Johnson,University of Utah,http://www.cs.utah.edu/~crj,SS3tE_MAAAAJ,2125.0,15.0,2008.0
Hari Sundar,University of Utah,http://www.cs.utah.edu/~hari,equOxc0AAAAJ,2589.0,26.0,2002.0
Lee A. Hollaar,University of Utah,http://www.cs.utah.edu/~hollaar,,,,
John M. Hollerbach,University of Utah,http://www.cs.utah.edu/~jmh,41QkAiUAAAAJ,20185.0,60.0,1972.0
Jason Wiese,University of Utah,http://www.cs.utah.edu/~wiese,OsEwCzoAAAAJ,2070.0,14.0,2010.0
Marina Kogan,University of Utah,http://www.mkoganresearch.com,ST-2CicAAAAJ,1146.0,15.0,1987.0
Eliane Stampfer,University of Utah,https://eliane-s-wiese.owlstown.net,hvEjrewAAAAJ,231.0,8.0,2011.0
Daniel A. Reed,University of Utah,https://www.hpcdan.org,YCw2r14AAAAJ,12801.0,61.0,
Sarang C. Joshi,University of Utah,https://www.sci.utah.edu/people/sjoshi.html,GyqdQTEAAAAJ,15148.0,62.0,1973.0
Tucker Hermans,University of Utah,http://www.cs.utah.edu/~thermans,VbMNUXoAAAAJ,43147.0,93.0,1950.0
P. Sadayappan,University of Utah,http://www.cs.utah.edu/~saday,JN4tlsMAAAAJ,18347.0,70.0,1984.0
Tom Henderson,University of Utah,http://www.cs.utah.edu/~tch,khCvByoAAAAJ,3747.0,27.0,1971.0
Ellen Riloff,University of Utah,http://www.cs.utah.edu/~riloff,M1pa3_gAAAAJ,15020.0,56.0,1990.0
John Regehr,University of Utah,http://www.cs.utah.edu/~regehr,yCv02hMAAAAJ,4903.0,37.0,1997.0
Rajeev Balasubramonian,University of Utah,http://www.cs.utah.edu/~rajeev,9Zq_duwAAAAJ,11344.0,47.0,2000.0
Erin Parker,University of Utah,http://www.cs.utah.edu/~parker,,,,
Mary W. Hall,University of Utah,http://www.cs.utah.edu/~mhall,208pw6sAAAAJ,8493.0,48.0,1977.0
Bei Wang,University of Utah,http://www.sci.utah.edu/~beiwang,x-P4MtQAAAAJ,7539.0,25.0,2008.0
