name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
M. Brandon Haworth,University of Victoria,https://www.bhaworth.ca,JMbh9v8AAAAJ,450.0,12.0,2012.0
Teseo Schneider,University of Victoria,http://web.uvic.ca/~teseo,DC4stPEAAAAJ,535.0,15.0,2009.0
Bruce M. Kapron,University of Victoria,http://www.cs.uvic.ca/~bmkapron,CCXustMAAAAJ,1349.0,20.0,1987.0
Brian Wyvill,University of Victoria,http://webhome.cs.uvic.ca/~blob,e0RbIYEAAAAJ,7525.0,41.0,1975.0
Hausi A. Müller,University of Victoria,http://webhome.cs.uvic.ca/~hausi,8hyNFkYAAAAJ,11632.0,49.0,1978.0
Sudhakar Ganti,University of Victoria,http://webhome.cs.uvic.ca/~sganti,NIhjhnEAAAAJ,1380.0,17.0,1991.0
S. Venkatesh,University of Victoria,http://www.cs.uvic.ca/~venkat,xn6BVdoAAAAJ,1739.0,21.0,1996.0
Nishant A. Mehta,University of Victoria,http://web.uvic.ca/~nmehta,YGeqVQkAAAAJ,643.0,13.0,1987.0
Yvonne Coady,University of Victoria,http://www.cs.uvic.ca/~ycoady,Z4GOmPMAAAAJ,2055.0,20.0,1992.0
Hosna Jabbari,University of Victoria,https://onlineacademiccommunity.uvic.ca/cobra,CiBbx70AAAAJ,228.0,9.0,2007.0
George Tzanetakis,University of Victoria,http://www.cs.uvic.ca/~gtzan,yPgxxpwAAAAJ,10853.0,41.0,1998.0
Frank Ruskey,University of Victoria,http://www.cs.uvic.ca/~ruskey,z81N4kUAAAAJ,4029.0,34.0,1970.0
Alex Thomo,University of Victoria,http://www.cs.uvic.ca/~thomo,szORzAoAAAAJ,1743.0,25.0,1998.0
Charles Perin,University of Victoria,http://charlesperin.net,raZc4aoAAAAJ,1117.0,18.0,2012.0
Jens H. Jahnke,University of Victoria,http://www.cs.uvic.ca/~jens/blog/page5.html,TsTOHgoAAAAJ,5823.0,37.0,2006.0
Valerie King,University of Victoria,http://webhome.cs.uvic.ca/~val,XS-XGGoAAAAJ,6928.0,38.0,1993.0
Daniela Damian,University of Victoria,http://www.uvic.ca/engineering/prospective/undergrad/research/people/?searchstring=&expertid=116&researchtopic=,B-1karUAAAAJ,9890.0,49.0,2000.0
Sean Chester,University of Victoria,https://sean-chester.github.io,ZxNF5OYAAAAJ,603.0,14.0,2009.0
Ulrike Stege,University of Victoria,http://webhome.cs.uvic.ca/~stege/Ulrike_Steges_Homepage/Welcome.html,1Zp5jw8AAAAJ,1930.0,26.0,1997.0
Kui Wu,University of Victoria,http://www.cs.uvic.ca/~wkui,YW2PefUAAAAJ,6693.0,41.0,2001.0
Neil A. Ernst,University of Victoria,http://neilernst.net,byBabzAAAAAJ,2562.0,26.0,2001.0
Jianping Pan,University of Victoria,https://webhome.cs.uvic.ca/~pan,mlUYzYcAAAAJ,7171.0,43.0,1994.0
Wendy Myrvold,University of Victoria,http://www.cs.uvic.ca/~wendym,XizA3H4AAAAJ,2057.0,26.0,1970.0
Margaret-Anne D. Storey,University of Victoria,https://margaretannestorey.wordpress.com,WhjQewkAAAAJ,16300.0,68.0,1987.0
Miguel A. Nacenta,University of Victoria,https://nacenta.com,M_Ne0psAAAAJ,2979.0,30.0,2005.0
Daniel M. Germán,University of Victoria,http://turingmachine.org,hpxl9PEAAAAJ,8286.0,47.0,
Mantis Cheng,University of Victoria,http://www.csc.uvic.ca/~mcheng,,,,
Ibrahim Numanagic,University of Victoria,https://saray.ca/~ibrahim,te8YRSAAAAAJ,539.0,11.0,2012.0
Sowmya Somanath,University of Victoria,https://celab.cs.uvic.ca,R9ar1NkAAAAJ,627.0,10.0,2011.0
