name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Eduard Mehofer,University of Vienna,https://cs.univie.ac.at/eduard.mehofer,,,,
Claudia Plant,University of Vienna,https://cs.univie.ac.at/claudia.plant,QSYzTd0AAAAJ,2918.0,29.0,2004.0
Karl Anton Froeschl,University of Vienna,https://cs.univie.ac.at/karl-anton.froeschl,,,,
Edgar R. Weippl,University of Vienna,https://sec.cs.univie.ac.at/team/person/83163,YU1wAV0AAAAJ,7873.0,43.0,1999.0
Dimitris Karagiannis,University of Vienna,https://cs.univie.ac.at/dimitris.karagiannis,,,,
Erich Schikuta,University of Vienna,https://cs.univie.ac.at/erich.schikuta,MluSpmIAAAAJ,2775.0,26.0,1983.0
Moritz Grosse-Wentrup,University of Vienna,https://cs.univie.ac.at/moritz.grosse-wentrup,15GNzKcAAAAJ,3473.0,26.0,2005.0
Gabriele E. Danninger-Uchida,University of Vienna,https://cs.univie.ac.at/gabriele.uchida,,,,
Ivo L. Hofacker,University of Vienna,https://cs.univie.ac.at/ivo.hofacker,sO2tBiAAAAAJ,37607.0,71.0,1990.0
Wolfgang Klas,University of Vienna,https://cs.univie.ac.at/wolfgang.klas,,,,
Monika Henzinger,University of Vienna,https://cs.univie.ac.at/monika.henzinger,NXbggxYAAAAJ,21575.0,70.0,1990.0
Arndt von Haeseler,University of Vienna,https://informatik.univie.ac.at/Arndt.von%20Haeseler,iH_4RxYAAAAJ,49974.0,73.0,
Torsten Möller,University of Vienna,https://cs.univie.ac.at/torsten.moeller,3cGVmqsAAAAJ,7644.0,45.0,1992.0
Benjamin Roth,University of Vienna,https://informatik.univie.ac.at/Benjamin.Roth,hz5AsE0AAAAJ,1619.0,17.0,2010.0
Maria Knobelsdorf,University of Vienna,https://informatik.univie.ac.at/Maria.Knobelsdorf,ADZsiiEAAAAJ,793.0,15.0,2006.0
Helmut Hlavacs,University of Vienna,https://cs.univie.ac.at/helmut.hlavacs,I6E7smMAAAAJ,3274.0,32.0,1998.0
Siegfried Benkner,University of Vienna,https://cs.univie.ac.at/siegfried.benkner,vIdBdA8AAAAJ,3109.0,34.0,1992.0
Peter Karl Reichl,University of Vienna,https://cs.univie.ac.at/peter.reichl,co0c914AAAAJ,3652.0,30.0,1993.0
Maria Leitner,University of Vienna,https://informatik.univie.ac.at/Maria.Leitner,W7uTJPgAAAAJ,454.0,13.0,2010.0
Sebastian Tschiatschek,University of Vienna,https://dm.cs.univie.ac.at/team/person/109359,nlJCSWcAAAAJ,1651.0,21.0,2011.0
Renate Motschnig,University of Vienna,https://cs.univie.ac.at/renate.motschnig,u6Q3elwAAAAJ,3545.0,30.0,1981.0
Uwe Zdun,University of Vienna,https://cs.univie.ac.at/uwe.zdun,jLm9DCkAAAAJ,6132.0,38.0,1999.0
Nils M. Kriege,University of Vienna,https://dm.cs.univie.ac.at/team/person/111520,wGT17PcAAAAJ,1561.0,15.0,2008.0
Wilfried N. Gansterer,University of Vienna,https://cs.univie.ac.at/wilfried.gansterer,vdfs-t8AAAAJ,2004.0,22.0,1997.0
Gerald Quirchmayr,University of Vienna,https://cs.univie.ac.at/gerald.quirchmayr,,,,
Werner Winiwarter,University of Vienna,https://cs.univie.ac.at/werner.winiwarter,,,,
