name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Ligang He,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/ligang_he,g3lthZYAAAAJ,2274.0,25.0,2000.0
Maria Liakata,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/maria_liakata,eys5GB4AAAAJ,5964.0,36.0,2000.0
Marcin Jurdzinski,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/marcin_jurdzinski,o_OzQq4AAAAJ,3688.0,24.0,1996.0
Meurig Beynon,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/meurig_beynon,ni_ZTXgAAAAJ,1930.0,22.0,1974.0
Jane E. Sinclair,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/jane_sinclair,,,,
Jianfeng Feng,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/jianfeng_feng/#overview,0MtAVz4AAAAJ,17647.0,73.0,1989.0
Mike Joy,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/m_s_joy,IOV57iUAAAAJ,4904.0,35.0,1984.0
Shan e Ahmed Raza,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/shan_raza,yPKOcgQAAAAJ,2201.0,18.0,2011.0
Rob Procter,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/rob_procter,IH2TPkkAAAAJ,14477.0,53.0,1972.0
Matthew Leeke,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/matthew_leeke,,,,
Matthias Englert,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/matthias_englert,,,,
Torsten Muetze,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/torsten_mutze,9232pxwAAAAJ,541.0,14.0,2006.0
Nasir M. Rajpoot,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/nasir_rajpoot,BSDXhwgAAAAJ,12246.0,46.0,1999.0
Tanaya Guha,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/tanaya_guha,GljtiSUAAAAJ,1471.0,17.0,2007.0
Nathan Griffiths,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/n_e_griffiths,BMw4FZMAAAAJ,2210.0,21.0,1992.0
Theo Damoulas,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/theo_damoulas,sRg-VkwAAAAJ,2985.0,23.0,2004.0
Igor Carboni Oliveira,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/igor_carboni_oliveira,aaGW2qwAAAAJ,512.0,14.0,2013.0
Weiren Yu,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/weiren_yu,KEC9U80AAAAJ,1293.0,21.0,2010.0
Yulia Timofeeva,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/y_timofeeva,ICL9ZiwAAAAJ,668.0,15.0,2002.0
Yulan He,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/yulan_he,SP9r32UAAAAJ,10208.0,45.0,1997.0
Tom Gur,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/tom_gur,edMuHPUAAAAJ,540.0,13.0,2010.0
Sara Kalvala,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/sara_kalvala,6pPqenQAAAAJ,453.0,12.0,1991.0
Paul A. Jenkins,University of Warwick,https://warwick.ac.uk/fac/sci/statistics/staff/academic-research/jenkins,nRHImnsAAAAJ,730.0,14.0,2006.0
Stephen A. Jarvis,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/stephen_jarvis/#overview,eyGQdb4AAAAJ,5796.0,44.0,1965.0
Long Tran-Thanh,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/long_tran-thanh,YBQai3gAAAAJ,1958.0,21.0,2009.0
Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,2144.0,22.0,1989.0
R. S. Lazic,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/ranko_lazic/biography,yGOk7boAAAAJ,2002.0,23.0,1996.0
Victor Sanchez,University of Warwick,https://www.dcs.warwick.ac.uk/~vsanchez/Victor_Sanchez/Victor_Sanchez.html,49PNoKwAAAAJ,2199.0,24.0,2002.0
Sayan Bhattacharya,University of Warwick,https://www.dcs.warwick.ac.uk/~u1671158,ca-urkIAAAAJ,888.0,14.0,2010.0
Fayyaz A. Afsar,University of Warwick,https://sites.google.com/view/fayyaz,cQ6eO_kAAAAJ,1548.0,20.0,2004.0
Hakan Ferhatosmanoglu,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/hakan_ferhatosmanoglu,QtHxli4AAAAJ,4245.0,29.0,1999.0
Till Bretschneider,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/till_bretschneider,mzMt1IAAAAAJ,2872.0,27.0,1995.0
Paolo Turrini,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/paolo_turrini,3NJIJNgAAAAJ,458.0,11.0,1999.0
Gihan R. Mudalige,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/Gihan_Mudalige,dEiLfCQAAAAJ,1052.0,17.0,2006.0
Peter Triantafillou,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/peter_triantafillou,seXHg1QAAAAJ,3886.0,35.0,1987.0
Florin Ciucu,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/florin_ciucu,JxCJneUAAAAJ,1594.0,23.0,2000.0
Hongkai Wen,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/Hongkai_Wen,SSbjWKAAAAAJ,3197.0,26.0,2012.0
Graham Cormode,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/graham_cormode,gpLVKmEAAAAJ,20156.0,69.0,1991.0
Adam P. Chester,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/adam_chester,ogEgU6HzEJQC,125.0,6.0,2008.0
Alexander Tiskin,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/alexander_tiskin,P9lIbS0AAAAJ,891.0,15.0,1999.0
Charilaos Efthymiou,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/charilaos_efthymiou,nvR9LcQAAAAJ,643.0,12.0,2004.0
Dmitry Chistikov,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/dmitry_chistikov,,,,
Edmund T. Rolls,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/edmund_rolls,4tIgOKsAAAAJ,102201.0,170.0,1969.0
