name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Richard J. Anderson,University of Washington,http://www.cs.washington.edu/people/faculty/anderson,uLsDDUMAAAAJ,12466.0,57.0,
Shwetak N. Patel,University of Washington,http://abstract.cs.washington.edu/~shwetak,z4S5rC0AAAAJ,15697.0,61.0,1978.0
Ras Bodík,University of Washington,https://www.cs.washington.edu/people/faculty/bodik,YrihYtsAAAAJ,14515.0,45.0,1969.0
Alexis Hiniker,University of Washington,http://alexishiniker.com,tY-tZTkAAAAJ,1728.0,22.0,2013.0
Simon S. Du,University of Washington,https://www.cs.washington.edu/people/faculty/ssdu,OttawxUAAAAJ,5653.0,34.0,2014.0
Noah A. Smith,University of Washington,https://www.cs.washington.edu/people/faculty/nasmith,TjdFs3EAAAAJ,34898.0,91.0,1999.0
Arvind Krishnamurthy,University of Washington,http://www.cs.washington.edu/people/faculty/arvind,EnCwNycAAAAJ,21507.0,78.0,1993.0
Luis Ceze,University of Washington,https://www.cs.washington.edu/people/faculty/luisceze,KzESVKwAAAAJ,14964.0,55.0,2000.0
Anna Karlin,University of Washington,http://www.cs.washington.edu/people/faculty/karlin,9ZGqm5QAAAAJ,15256.0,50.0,1981.0
Katharina Reinecke,University of Washington,https://www.cs.washington.edu/people/faculty/reinecke,_4EISRwAAAAJ,3139.0,27.0,2007.0
Paul Beame,University of Washington,http://www.cs.washington.edu/people/faculty/beame,plYoF-MAAAAJ,7320.0,45.0,1976.0
Alan Borning,University of Washington,http://www.cs.washington.edu/people/faculty/borning,,,,
Jacob O. Wobbrock,University of Washington,http://faculty.washington.edu/wobbrock,TmZ3howAAAAJ,19026.0,70.0,
Tanushree Mitra,University of Washington,http://faculty.washington.edu/tmitra,,,,
Leah Findlater,University of Washington,http://faculty.washington.edu/leahkf,NeDnx2EAAAAJ,8414.0,38.0,2001.0
Sewoong Oh,University of Washington,http://swoh.web.engr.illinois.edu,,,,
