name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Bin Ma,University of Waterloo,https://cs.uwaterloo.ca/~binma,f-eL6DYAAAAJ,21568.0,44.0,1998.0
Edward Lank,University of Waterloo,https://cs.uwaterloo.ca/~lank,e7P8IwgAAAAJ,2769.0,28.0,1997.0
Raymond Laflamme,University of Waterloo,https://laflamme.iqc.uwaterloo.ca,UBusZfYAAAAJ,34254.0,72.0,1977.0
Lap Chi Lau,University of Waterloo,https://cs.uwaterloo.ca/~lapchi,umOOMzsAAAAJ,2061.0,23.0,1977.0
Meng Xu,University of Waterloo,https://cs.uwaterloo.ca/~m285xu,,,,
Richard Mann,University of Waterloo,https://cs.uwaterloo.ca/~mannr,,,,
Martin Karsten,University of Waterloo,https://cs.uwaterloo.ca/~mkarsten,ieXJpBkAAAAJ,18689.0,57.0,1990.0
Therese C. Biedl,University of Waterloo,https://cs.uwaterloo.ca/~biedl,gjNeD8cAAAAJ,3204.0,31.0,
Yuri Boykov,University of Waterloo,http://www.csd.uwo.ca/~yuri,h6_PdYsAAAAJ,34413.0,47.0,1996.0
Meiyappan Nagappan,University of Waterloo,https://cs.uwaterloo.ca/~m2nagapp,QKpkZx0AAAAJ,4132.0,35.0,2006.0
Tim Brecht,University of Waterloo,https://cs.uwaterloo.ca/~brecht,74nBKe8AAAAJ,2599.0,28.0,1984.0
Lukasz Golab,University of Waterloo,https://www.engineering.uwaterloo.ca/~lgolab,,,,
Xi He,University of Waterloo,https://users.cs.duke.edu/~hexi88,DlTQ320AAAAJ,803.0,11.0,2014.0
Gautam Chetan Kamath,University of Waterloo,http://www.gautamkamath.com,MK6zHkYAAAAJ,2000.0,23.0,2012.0
Ali José Mashtizadeh,University of Waterloo,https://cs.uwaterloo.ca/~mashti,djMOD-IAAAAJ,1860.0,16.0,2007.0
Bernard Wong,University of Waterloo,https://cs.uwaterloo.ca/~bernard,1MgxnKcAAAAJ,1104.0,16.0,1982.0
Robin Cohen,University of Waterloo,https://cs.uwaterloo.ca/~rcohen,7OnAKPIAAAAJ,24359.0,53.0,
