name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Imran Ahmad,University of Windsor,http://www.uwindsor.ca/science/computerscience/1064/dr-imran-ahmad,z7zGYkwAAAAJ,450.0,11.0,1994.0
Ahmad Biniaz,University of Windsor,http://www.uwindsor.ca/science/computerscience/1151/dr-ahmad-biniaz,ZbHrRcEAAAAJ,340.0,10.0,2007.0
Scott. D. Goodwin,University of Windsor,http://www.uwindsor.ca/science/computerscience/1036/dr-scott-goodwin,,,,
C. I. Ezeife,University of Windsor,http://www.uwindsor.ca/science/computerscience/1062/dr-christie-ezeife,mtEHMiUAAAAJ,2072.0,23.0,1993.0
Jianguo Lu,University of Windsor,http://www.uwindsor.ca/science/computerscience/1051/dr-jianguo-lu,PfF0D0sAAAAJ,2342.0,19.0,1991.0
Pooya Moradian Zadeh,University of Windsor,http://www.uwindsor.ca/science/computerscience/1047/dr-pooya-moradian-zadeh,,,,
Alioune Ngom,University of Windsor,http://www.uwindsor.ca/science/computerscience/1061/dr-alioune-ngom,,,,
Robert D. Kent,University of Windsor,http://www.uwindsor.ca/science/computerscience/1037/dr-robert-kent,,,,
Yung H. Tsin,University of Windsor,http://www.uwindsor.ca/science/computerscience/1025/dr-yung-h-tsin,,,,
Luís G. Rueda,University of Windsor,http://www.uwindsor.ca/science/computerscience/1033/dr-luis-rueda,2OPjLFkAAAAJ,1829.0,22.0,1995.0
Xiaobu Yuan,University of Windsor,http://www.uwindsor.ca/science/computerscience/1032/dr-xiaobu-yuan,,,,
Boubakeur Boufama,University of Windsor,http://www.uwindsor.ca/science/computerscience/1059/dr-boubakeur-boufama,-xk1C0cAAAAJ,1610.0,19.0,1992.0
Robin Gras,University of Windsor,http://www.uwindsor.ca/science/computerscience/1048/dr-robin-gras,98LyA1oAAAAJ,1660.0,20.0,1995.0
Arunita Jaekel,University of Windsor,http://www.uwindsor.ca/science/computerscience/1034/dr-arunita-jaekel,3GXXVa0AAAAJ,1921.0,21.0,1994.0
Saeed Samet,University of Windsor,http://www.uwindsor.ca/science/computerscience/1052/dr-saeed-samet,XVnPhgMAAAAJ,1339.0,13.0,2007.0
Sherif Saad Ahmed,University of Windsor,http://www.uwindsor.ca/science/computerscience/1026/dr-sherif-saad-ahmed,,,,
Xiao Jun Chen,University of Windsor,http://www.uwindsor.ca/science/computerscience/1058/dr-jessica-chen,,,,
Asish Mukhopadhyay,University of Windsor,http://www.uwindsor.ca/science/computerscience/1053/dr-asish-mukhopadhyay,Up_ZDaAAAAAJ,924.0,15.0,1966.0
Ziad Kobti,University of Windsor,http://www.uwindsor.ca/science/computerscience/1060/dr-ziad,,,,
