name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Christine Cheng,University of Wisconsin - Milwaukee,http://uwm.academia.edu/ChristineCheng,6Ba8yxEAAAAJ,709.0,13.0,1998.0
Adrian Dumitrescu,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/dumitrescu-ph-d-adrian,cjVwVpsAAAAJ,2127.0,24.0,1998.0
Mukul Goyal,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/goyal-ph-d-mukul,,,,
Susan McRoy,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/mcroy-ph-d-susan,cIxN_SIAAAAJ,1886.0,21.0,1988.0
Ethan V. Munson,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/munson-ph-d-ethan,LbUcU9EAAAAJ,1390.0,19.0,1981.0
Amol Dattatraya Mali,University of Wisconsin - Milwaukee,http://www.cs.uwm.edu/faculty/mali/conferences/distributed-ictai.pdf,9aqKSJ0AAAAJ,566.0,11.0,1986.0
Zeyun Yu,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/yu-ph-d-zeyun,9kT9SaIAAAAJ,3454.0,31.0,1998.0
Tian Zhao,University of Wisconsin - Milwaukee,http://jiangxi.cs.uwm.edu,65p2anoAAAAJ,1344.0,23.0,2000.0
Guangwu Xu,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/xu-ph-d-guangwu,,,,
John Boyland,University of Wisconsin - Milwaukee,http://www.cs.uwm.edu/faculty/boyland,I4lFc4IAAAAJ,2398.0,19.0,1989.0
Ichiro Suzuki,University of Wisconsin - Milwaukee,https://uwm.edu/engineering/people/suzuki-ph-d-ichiro,,,,
