name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Mathieu Hébert,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/image-science-computer-vision/news-events/ph-d-defense/hdr-defense-of-mathieu-hebert.html,2imvBaEAAAAJ,1022.0,18.0,
Christophe Gravier,Université Jean Monnet,http://satin-ppl.telecom-st-etienne.fr/cgravier,,,,
Christophe Ducottet,Université Jean Monnet,http://webperso.univ-st-etienne.fr/~ducottet,oj8J16sAAAAJ,1594.0,22.0,1994.0
Jacques Fayolle,Université Jean Monnet,https://www.univ-st-etienne.fr/fr/tous-les-faits-marquants/annees-precedentes/annee-2011-2012/jacques-fayolle-elu-directeur-de-telecom-saint-etienne.html,C8efi9MAAAAJ,777.0,13.0,1995.0
Corinne Fournier,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr,H4BOYe8AAAAJ,1416.0,18.0,1980.0
Kamal Deep Singh,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/connected-intelligence/staff.html,9tzP1AUAAAAJ,3268.0,22.0,2002.0
Olivier Alata,Université Jean Monnet,http://perso.univ-st-etienne.fr/ao29170h,ClqgTp8AAAAJ,777.0,14.0,1995.0
Léonor Beccera-Bonache,Université Jean Monnet,http://perso.univ-st-etienne.fr/bele8436,NOSCHOLARPAGE,,,
Thierry Fournel,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/image-science-computer-vision/seminars/by-lab-researchers/seminar-by-thierry-fournel.html,c31Sf20AAAAJ,1213.0,16.0,1991.0
Fabien Momey,Université Jean Monnet,http://perso.univ-st-etienne.fr/frel9915,PEDfa4cAAAAJ,298.0,9.0,2010.0
Christine Largeron,Université Jean Monnet,http://perso.univ-st-etienne.fr/largeron,YgSSCaIAAAAJ,1180.0,20.0,1997.0
Pierre Chavel,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/the-lab/staff.html,Bz_uDOUAAAAJ,7702.0,33.0,1974.0
Loïc Denis,Université Jean Monnet,http://perso.univ-st-etienne.fr/deniloic,QGsZcgIAAAAJ,4122.0,29.0,2005.0
Catherine Combes,Université Jean Monnet,http://perso.univ-st-etienne.fr/combes,tZHqTKcAAAAJ,2248.0,23.0,2011.0
Alain Trémeau,Université Jean Monnet,http://www.create.uwe.ac.uk/membership/tremeau.htm,XUE41swAAAAJ,3110.0,25.0,1992.0
Hubert Konik,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/teams/image-science-computer-vision/staff.html,XywJFH8AAAAJ,950.0,16.0,1994.0
Eric Dinet,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr,,,,
Emilie Morvant,Université Jean Monnet,http://perso.univ-st-etienne.fr/me63854h,4dzYdBsAAAAJ,614.0,12.0,2009.0
Baptiste Jeudy,Université Jean Monnet,http://perso.univ-st-etienne.fr/jeudbapt,,,,
Damien Muselet,Université Jean Monnet,http://perso.univ-st-etienne.fr/muda8804,TyNSxjQAAAAJ,1159.0,16.0,1987.0
Marc Sebban,Université Jean Monnet,http://perso.univ-st-etienne.fr/sebbanma,EGZ3i1MAAAAJ,4324.0,26.0,1995.0
Marc Bernard,Université Jean Monnet,http://perso.univ-st-etienne.fr/mbernard,zO1nhO8AAAAJ,2053.0,26.0,1994.0
Thierry Lépine,Université Jean Monnet,https://www.facebook.com/Universite.Jean.Monnet.Saint.Etienne/photos/a.270548162964178.88971.224373240915004/1063394287012891,NxfMgRgAAAAJ,979.0,11.0,1987.0
Frédérique Laforest,Université Jean Monnet,http://satin-ppl.telecom-st-etienne.fr/flaforest,dlCqLHsAAAAJ,1265.0,17.0,1994.0
Pierre Maret,Université Jean Monnet,http://perso.univ-st-etienne.fr/mapi9921,kQTwSFcAAAAJ,1994.0,26.0,1994.0
Rémi Emonet,Université Jean Monnet,http://home.heeere.com,TOqZIGgAAAAJ,1385.0,19.0,2005.0
Anne-Claire Legrand,Université Jean Monnet,http://univ-st-etienne.academia.edu/AnneclaireLegrand,qtlHiRYAAAAJ,159.0,7.0,1999.0
Amaury Habrard,Université Jean Monnet,http://perso.univ-st-etienne.fr/habrarda,oPemAuMAAAAJ,5035.0,27.0,2001.0
Mathias Géry,Université Jean Monnet,http://perso.univ-st-etienne.fr/gerymath,9z3AzvEAAAAJ,843.0,13.0,1995.0
Philippe Ezequel,Université Jean Monnet,http://perso.univ-st-etienne.fr/ezequel,,,,
Virginie Fresse,Université Jean Monnet,https://laboratoirehubertcurien.univ-st-etienne.fr/en/the-lab/staff.html,,,,
Julien Subercaze,Université Jean Monnet,http://satin-ppl.telecom-st-etienne.fr/jsubercaze,,,,
Fabrice Muhlenbach,Université Jean Monnet,http://perso.univ-st-etienne.fr/muhlfabr,,,,
François Jacquenet,Université Jean Monnet,http://perso.univ-st-etienne.fr/jacquene,HPhooYQAAAAJ,323.0,10.0,1994.0
