name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jonathan Gaudreault,Université Laval,https://www.ift.ulaval.ca/departement-et-professeurs/professeurs-et-personnel/professeurs-reguliers/fiche/show/gaudreault-jonathan,g7YxejsAAAAJ,1000.0,16.0,2004.0
Ronald Beaubrun,Université Laval,https://monarc.ift.ulaval.ca,,,,
Jean-François Lalonde,Université Laval,http://vision.gel.ulaval.ca/~jflalonde,hW9fwNYAAAAJ,4128.0,34.0,2003.0
Audrey Durand,Université Laval,https://audur2.ift.ulaval.ca,Qdm6sEwAAAAJ,623.0,15.0,2005.0
Claude-Guy Quimper,Université Laval,http://www2.ift.ulaval.ca/~quimper,9YHTzQwAAAAJ,1654.0,22.0,2002.0
François Pomerleau,Université Laval,https://norlab.ulaval.ca/people/f_pomerleau_fr,FJ9IqNoAAAAJ,3255.0,28.0,2009.0
Richard Khoury,Université Laval,http://www2.ift.ulaval.ca/~rikho,,,,
Mario Marchand,Université Laval,http://www2.ift.ulaval.ca/~mmarchand,M792u2sAAAAJ,7566.0,29.0,1980.0
Philippe Giguère,Université Laval,http://www2.ift.ulaval.ca/~pgiguere,tgZPkzkAAAAJ,2427.0,25.0,2005.0
Pascal Germain,Université Laval,http://www.pascalgermain.info,mgOIj_4AAAAJ,6170.0,15.0,2007.0
Nadia Tawbi,Université Laval,https://www.ift.ulaval.ca/departement-et-professeurs/professeurs-et-personnel/professeurs-reguliers/page-personnelle-nadia-tawbi,mhkg__EAAAAJ,1074.0,18.0,1985.0
Denis Laurendeau,Université Laval,http://vision.gel.ulaval.ca/~laurend,_dnTDcQAAAAJ,4536.0,31.0,
Mohamed Aymen Saied,Université Laval,https://saiedmoh.github.io,KxON99YAAAAJ,446.0,11.0,2015.0
Thierry Eude,Université Laval,http://www2.ift.ulaval.ca/~eude,PiQPl64AAAAJ,260.0,6.0,1993.0
Luc Lamontagne,Université Laval,http://www2.ift.ulaval.ca/~lamontagne,mCsuyb0AAAAJ,1000.0,17.0,1977.0
Christian Gagné,Université Laval,https://chgagne.github.io,egixsbEAAAAJ,4925.0,31.0,2001.0
Dany Dubé,Université Laval,http://www2.ift.ulaval.ca/~dadub100,,,,
Béchir Ktari,Université Laval,http://www2.ift.ulaval.ca/~ktari,,,,
Brahim Chaib-draa,Université Laval,http://www2.ift.ulaval.ca/~chaib,,,,
Robert Bergevin,Université Laval,http://w3.gel.ulaval.ca/~bergevin,j9jEMToAAAAJ,3555.0,23.0,1988.0
Laurence Capus,Université Laval,http://www2.ift.ulaval.ca/~capus,,,,
Mohamed Mejri,Université Laval,http://www2.ift.ulaval.ca/~mejri,,,,
Xavier Maldague,Université Laval,http://w3.gel.ulaval.ca/~maldagx,,,,
