name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Jean Cardinal,Université libre de Bruxelles,http://www.ulb.ac.be/di/algo/jcardin,RGGbPQEAAAAJ,1858.0,25.0,1999.0
Gianluca Bontempi,Université libre de Bruxelles,http://www.ulb.ac.be/di/map/gbonte/Welcome.html,SX-QoHsAAAAJ,17144.0,63.0,1994.0
Maarten Jansen,Université libre de Bruxelles,http://homepages.ulb.ac.be/~majansen,ynC74rsAAAAJ,23073.0,70.0,1980.0
Matthieu Defrance,Université libre de Bruxelles,http://ibsquare.be/members/matthieu-defrance,jqT35NQAAAAJ,9542.0,44.0,1996.0
Tom Lenaerts,Université libre de Bruxelles,http://www.ulb.ac.be/di/map/tlenaert/Home_Tom_Lenaerts/Welcome.html,xpVAdlAAAAAJ,4891.0,33.0,1997.0
Samuel Fiorini,Université libre de Bruxelles,http://homepages.ulb.ac.be/~sfiorini,Klc6YZcAAAAJ,1800.0,21.0,2001.0
Bernard Fortz,Université libre de Bruxelles,http://homepages.ulb.ac.be/~bfortz,YaOdoooAAAAJ,4919.0,22.0,1996.0
Stefan Langerman,Université libre de Bruxelles,http://www.ulb.ac.be//di/algo/sl,aZVYm64AAAAJ,3348.0,31.0,1994.0
Thierry Massart,Université libre de Bruxelles,http://www.ulb.ac.be/di/verif/tmassart,ErCr960AAAAJ,563.0,12.0,1986.0
Martine Labbé,Université libre de Bruxelles,http://homepages.ulb.ac.be/~mlabbe,WS_O3bIAAAAJ,7342.0,50.0,1982.0
Jean-François Raskin,Université libre de Bruxelles,http://www.ulb.ac.be/di/ssd/jfr,,,,
Gilles Geeraerts,Université libre de Bruxelles,http://www.ulb.ac.be/di/verif/ggeeraer,_v-lho8AAAAJ,714.0,16.0,2002.0
Olivier Markowitch,Université libre de Bruxelles,https://qualsec.ulb.ac.be/people/olivier-markowitch,wfBB0CAAAAAJ,2721.0,22.0,1999.0
Joël Goossens,Université libre de Bruxelles,http://beams.ulb.ac.be/users/jo%C3%ABl-goossens,jTzDAsIAAAAJ,3770.0,35.0,1996.0
John Iacono,Université libre de Bruxelles,http://johniacono.com,cF2lHxgAAAAJ,2313.0,26.0,2000.0
Gwenaël Joret,Université libre de Bruxelles,http://www.ulb.ac.be/di/algo/gjoret,rEsm1asAAAAJ,1262.0,21.0,2005.0
Emmanuel Filiot,Université libre de Bruxelles,http://www.ulb.ac.be/di/ssd/filiot,EPCJ1lQAAAAJ,1457.0,19.0,2003.0
Yves Roggeman,Université libre de Bruxelles,http://www.ulb.ac.be/di/scsi/yrogge,,,,
