name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Weng Poo Kang,Vanderbilt University,http://engineering.vanderbilt.edu/bio/weng-poo-kang,,,,
Kevin Leach,Vanderbilt University,https://engineering.vanderbilt.edu/bio/kevin-leach,7nSw4Q8AAAAJ,810.0,13.0,1994.0
Philippe M. Fauchet,Vanderbilt University,http://engineering.vanderbilt.edu/bio/philippe-fauchet,MrVrKwIAAAAJ,19343.0,65.0,
Xenofon D. Koutsoukos,Vanderbilt University,http://www.vuse.vanderbilt.edu/~koutsoxd,NHZdlVkAAAAJ,10518.0,52.0,1997.0
David A. B. Hyde,Vanderbilt University,https://dabh.io,1Hcz5c0AAAAJ,155.0,6.0,2015.0
Robert Reed,Vanderbilt University,http://engineering.vanderbilt.edu/bio/robert-reed,oEQcOy8AAAAJ,20171.0,75.0,
Matthew Berger,Vanderbilt University,https://matthewberger.github.io,i-j2oMsAAAAJ,1345.0,13.0,2010.0
Robert Weller,Vanderbilt University,http://engineering.vanderbilt.edu/bio/robert-weller,4fj1bHYAAAAJ,14806.0,60.0,1977.0
Forrest J. Laine,Vanderbilt University,https://4estlaine.github.io,,,,
Meiyi Ma,Vanderbilt University,http://www.cs.virginia.edu/~mm5tk,d39BOU4AAAAJ,293.0,9.0,2011.0
Tyler Derr,Vanderbilt University,https://tylersnetwork.github.io,et6IhFcAAAAJ,729.0,16.0,2015.0
William Robinson,Vanderbilt University,http://www.vuse.vanderbilt.edu/~robinswh,iYVWydgAAAAJ,5811.0,16.0,1981.0
Padma Raghavan,Vanderbilt University,http://www.cse.psu.edu/~pxr3,JDctypMAAAAJ,2464.0,26.0,1983.0
Daniel Fabbri,Vanderbilt University,https://www.vumc.org/dbmi/person/daniel-fabbri-phd,JBZj2SYAAAAJ,955.0,18.0,2009.0
Aniruddha Gokhale,Vanderbilt University,http://www.dre.vanderbilt.edu/~gokhale,yvvjnhIAAAAJ,9777.0,48.0,1969.0
Yuankai Huo,Vanderbilt University,https://my.vanderbilt.edu/huolab,WRxmxNgAAAAJ,2250.0,26.0,2010.0
