name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Noel Schulz,Washington State University,https://president.wsu.edu/transition/meet-dr-noel-schulz,,,,
Ali Saberi,Washington State University,https://school.eecs.wsu.edu/people/faculty/ali-saberi,xcV_89kAAAAJ,12594.0,57.0,1981.0
Adam Hahn,Washington State University,http://www.eecs.wsu.edu/~ahahn/index.html,nGBlVWwAAAAJ,5252.0,22.0,1990.0
Chen-Ching Liu,Washington State University,https://school.eecs.wsu.edu/people/faculty/chen-ching-liu,mev-3bQAAAAJ,17677.0,70.0,1984.0
Anjan Bose,Washington State University,https://vcea.wsu.edu/anjan-bose,jNK8oJoAAAAJ,16331.0,59.0,1950.0
Zhe Dang,Washington State University,http://www.eecs.wsu.edu/~zdang,5_sZnFsAAAAJ,1191.0,19.0,1997.0
Haipeng Cai,Washington State University,https://school.eecs.wsu.edu/people/faculty/haipeng-cai,Ru4B_wkAAAAJ,1035.0,19.0,2011.0
Chris Hundhausen,Washington State University,http://www.eecs.wsu.edu/~hundhaus,jdmx_E8AAAAJ,4873.0,32.0,1991.0
Ganapati Bhat,Washington State University,https://www.public.asu.edu/~gmbhat,MVnzUKEAAAAJ,497.0,12.0,2016.0
José G. Delgado-Frias,Washington State University,http://www.eecs.wsu.edu/~jdelgado,,,,
Larry B. Holder,Washington State University,http://www.eecs.wsu.edu/~holder,SjPX43QAAAAJ,7861.0,39.0,
Venera Arnaoudova,Washington State University,http://www.veneraarnaoudova.com,PnqiKhgAAAAJ,803.0,17.0,2008.0
Vaithianathan Mani Venkatasubramanian,Washington State University,http://www.eecs.wsu.edu/~mani,t-5QQSsAAAAJ,5317.0,36.0,1990.0
Bolong Zeng,Washington State University,https://school.eecs.wsu.edu/people/faculty/bolong-zeng,kp0baVYAAAAJ,1210.0,20.0,2014.0
Deuk Heo,Washington State University,https://school.eecs.wsu.edu/people/faculty/deuk-heo,,,,
Brent Carper,Washington State University,https://school.eecs.wsu.edu/people/faculty/brent-carper,,,,
Bryan David Minor,Washington State University,https://school.eecs.wsu.edu/people/faculty/bryan-minor,0g7f1_YAAAAJ,386.0,9.0,2009.0
Yan Yan,Washington State University,http://iemppu.github.io,A6co_BAAAAAJ,1770.0,19.0,2012.0
Robert G. Olsen,Washington State University,http://www.eecs.wsu.edu/~olsen,UO6K1TkAAAAJ,28575.0,34.0,1966.0
Patrick D. Pedrow,Washington State University,http://www.eecs.wsu.edu/~pedrow,8FD3lhEAAAAJ,77.0,4.0,2012.0
Partha Pande,Washington State University,http://www.eecs.wsu.edu/~pande,,,,
John Schneider,Washington State University,http://www.eecs.wsu.edu/~schneidj,osLwYNIAAAAJ,4840.0,36.0,1981.0
Krishnamoorthy Sivakumar,Washington State University,http://www.eecs.wsu.edu/~siva,bEic8SsAAAAJ,3566.0,26.0,1993.0
Sandip Roy,Washington State University,http://www.eecs.wsu.edu/~sroy,kZCVufIAAAAJ,4830.0,31.0,1963.0
Subhanshu Gupta,Washington State University,https://sites.google.com/site/researcheecswsusubhanshu/home,GNhTWHoAAAAJ,535.0,11.0,2005.0
Javier Guerrero,Washington State University,https://foundation.wsu.edu/2013/04/12/solar-car-donation-accelerates-renewables-education,ntHlYjcAAAAJ,1922.0,20.0,2005.0
Xuechen Zhang,Washington State University,https://labs.wsu.edu/xuechen-zhang,SfwwymcAAAAJ,828.0,14.0,2009.0
Diane J. Cook,Washington State University,http://www.eecs.wsu.edu/~cook,VpfWvTUAAAAJ,31253.0,78.0,
Behrooz A. Shirazi,Washington State University,https://school.eecs.wsu.edu/people/faculty/behrooz-a-shirazi,5cR-WDcAAAAJ,4667.0,31.0,1984.0
Janardhan Rao (Jana) Doppa,Washington State University,http://eecs.wsu.edu/~jana,x2mdFuwAAAAJ,1762.0,23.0,2005.0
Thomas R. Fischer,Washington State University,http://www.eecs.wsu.edu/~fischer,S76z6YoAAAAJ,14469.0,42.0,1997.0
Jacob Murray,Washington State University,https://school.eecs.wsu.edu/people/faculty/jacob-murray,FcyEppQAAAAJ,264.0,10.0,2012.0
Gina Sprint,Washington State University,http://www.eecs.wsu.edu/~gsprint,Pvqg51oAAAAJ,584.0,11.0,2014.0
Saeed Lotfifard,Washington State University,http://eecs.wsu.edu/~lotfi,cOJa8nMAAAAJ,1947.0,22.0,1999.0
Jia Yu,Washington State University,https://jiayuasu.github.io,CHOjvFIAAAAJ,840.0,10.0,2014.0
Dae Hyun Kim,Washington State University,https://school.eecs.wsu.edu/people/faculty/dae-hyun-kim,YulheBgAAAAJ,1871.0,21.0,2008.0
Shira L. Broschat,Washington State University,https://school.eecs.wsu.edu/people/faculty/shira-broschat,,,,
Ahmed Abu-Hajar,Washington State University,https://school.eecs.wsu.edu/people/faculty/ahmed-abu-hajar,4AMVfYwAAAAJ,91.0,5.0,2002.0
Ali Mehrizi-Sani,Washington State University,http://eecs.wsu.edu/~mehrizi,dxRTf9YAAAAJ,6198.0,26.0,2006.0
K. C. Wang,Washington State University,https://school.eecs.wsu.edu/people/faculty/kc-wang,NmoASSIAAAAJ,18542.0,47.0,1967.0
Dingwen Tao,Washington State University,https://www.dingwentao.com,Ppjzn_EAAAAJ,1225.0,19.0,2014.0
Benjamin Belzer,Washington State University,http://www.eecs.wsu.edu/~belzer,3uEJQmQAAAAJ,3763.0,25.0,1994.0
Aravind Sukumaran Rajam,Washington State University,https://eecs.wsu.edu/~asukumar,CT9--E0AAAAJ,592.0,15.0,2013.0
Anamika Dubey,Washington State University,https://school.eecs.wsu.edu/people/faculty/anamika-dubey,y-3RPK0AAAAJ,1523.0,17.0,2010.0
Andrew O'Fallon,Washington State University,http://www.eecs.wsu.edu/~aofallon,,,,
Robert M. Rioux,Washington State University,https://school.eecs.wsu.edu/people/faculty/robert-rioux,ALxkJQEAAAAJ,9129.0,39.0,2000.0
Assefaw H. Gebremedhin,Washington State University,http://www.eecs.wsu.edu/~assefaw,iQs7spsAAAAJ,2027.0,23.0,1999.0
Anurag K. Srivastava,Washington State University,http://www.eecs.wsu.edu/~asrivast/bio_CV.html,_GtNYPMAAAAJ,7148.0,41.0,2000.0
Murari Kejariwal,Washington State University,https://school.eecs.wsu.edu/people/faculty/murari-kejariwal,,,,
Ananth Kalyanaraman,Washington State University,http://www.eecs.wsu.edu/~ananth,,,,
David E. Bakken,Washington State University,http://www.eecs.wsu.edu/~bakken,,,,
Sakire Arslan Ay,Washington State University,https://school.eecs.wsu.edu/people/faculty/sakire-arslan-ay,,,,
Carl H. Hauser,Washington State University,http://www.eecs.wsu.edu/~hauser,,,,
