name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Patrick Crowley,Washington University in St. Louis,http://www.arl.wustl.edu/~pcrowley,n6wC7nwAAAAJ,9074.0,36.0,1998.0
Ulugbek Kamilov,Washington University in St. Louis,https://sites.wustl.edu/cigwww,3qYUSDwAAAAJ,2491.0,26.0,2011.0
Ron Cytron,Washington University in St. Louis,http://www.cs.wustl.edu/~cytron,,,,
Chenyang Lu,Washington University in St. Louis,http://www.cs.wustl.edu/~lu,tCq7Wx0AAAAJ,24850.0,72.0,1999.0
Caitlin Kelleher,Washington University in St. Louis,http://www.cse.wustl.edu/~ckelleher,DqCFHY8AAAAJ,4136.0,22.0,2002.0
Chien-Ju Ho,Washington University in St. Louis,http://chienjuho.com,DWKoeW0AAAAJ,1397.0,14.0,2005.0
Alvitta Ottley,Washington University in St. Louis,http://www.cse.wustl.edu/~alvitta/index.html,yepPD_cAAAAJ,729.0,13.0,2012.0
Brendan A. Juba,Washington University in St. Louis,http://www.cse.wustl.edu/~bjuba,5wppdUoAAAAJ,614.0,15.0,2005.0
Brian Kocoloski,Washington University in St. Louis,https://www.cse.wustl.edu/~brian.kocoloski,Qu_xQjYAAAAJ,226.0,8.0,2012.0
Yevgeniy Vorobeychik,Washington University in St. Louis,http://vorobeychik.com,ptI-HHkAAAAJ,4964.0,40.0,2004.0
Sanjoy Baruah,Washington University in St. Louis,https://www.cs.unc.edu/~baruah,qC7oNRUAAAAJ,19275.0,72.0,1990.0
Tao Ju,Washington University in St. Louis,http://www.cs.wustl.edu/~taoju,80AO9mkAAAAJ,9998.0,56.0,1990.0
William Yeoh,Washington University in St. Louis,https://sites.wustl.edu/wyeoh,HzOQwwkAAAAJ,3332.0,30.0,1996.0
Viktor Gruev,Washington University in St. Louis,https://ece.illinois.edu/directory/profile/vgruev,WV7XovQAAAAJ,4309.0,35.0,1998.0
Roman Garnett,Washington University in St. Louis,http://www.cse.wustl.edu/~garnett,CUkAtC4AAAAJ,3390.0,27.0,2004.0
Jonathan Turner,Washington University in St. Louis,http://www.arl.wustl.edu/~jst,Cgx9W6UAAAAJ,31399.0,69.0,
Yi-Xin Chen,Washington University in St. Louis,http://www.cse.wustl.edu/~ychen,NByrsK0AAAAJ,13045.0,54.0,1986.0
Ning Zhang,Washington University in St. Louis,https://n1ngz.github.io,gwB_pJcAAAAJ,1163.0,16.0,2011.0
Aaron Bobick,Washington University in St. Louis,https://www.cc.gatech.edu/~afb,rynvwScAAAAJ,23412.0,62.0,1986.0
I-Ting Angelina Lee,Washington University in St. Louis,http://www.cse.wustl.edu/~angelee,WRlzk3UAAAAJ,601.0,15.0,2005.0
Jeremy Buhler,Washington University in St. Louis,http://www.cse.wustl.edu/~jbuhler,yQXfAWMAAAAJ,8175.0,34.0,1995.0
Christopher D. Gill,Washington University in St. Louis,http://www.cse.wustl.edu/~cdgill,G7D5O-0AAAAJ,8181.0,41.0,1997.0
Kunal Agrawal,Washington University in St. Louis,http://www.cse.wustl.edu/~kunal,W362rUwAAAAJ,3041.0,28.0,2003.0
Weixiong Zhang,Washington University in St. Louis,http://www.cs.wustl.edu/~zhang,vuKTnnsAAAAJ,12127.0,59.0,1989.0
Raj Jain,Washington University in St. Louis,http://www.cse.wustl.edu/~jain,runT3RsAAAAJ,39086.0,70.0,
Roch Guérin,Washington University in St. Louis,http://www.cse.wustl.edu/~guerin,54w2_AcAAAAJ,35714.0,64.0,1985.0
Michael R. Brent,Washington University in St. Louis,http://mblab.wustl.edu,YE2tPHQAAAAJ,52049.0,50.0,1988.0
Roger D. Chamberlain,Washington University in St. Louis,http://www.ccrc.wustl.edu/~roger,fAw_t5EAAAAJ,6188.0,42.0,1985.0
Neil Patwari,Washington University in St. Louis,https://cse.wustl.edu/faculty/Pages/faculty.aspx?bio=189,g9yhtN8AAAAJ,17133.0,49.0,1997.0
William D. Richard,Washington University in St. Louis,http://www.cse.wustl.edu/~wdr,HQeEzR0AAAAJ,1211.0,17.0,1985.0
