name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Narendra S. Goel,Wayne State University,http://engineering.wayne.edu/profile/aa2671,E8X4MN4AAAAJ,5232.0,19.0,1966.0
Suzan Arslanturk,Wayne State University,http://suzanars.eng.wayne.edu/index.html,08yfzbMAAAAJ,96.0,6.0,2011.0
Amiangshu Bosu,Wayne State University,http://amiangshu.com,,,,
Weisong Shi,Wayne State University,http://www.cs.wayne.edu/~weisong,4rPcoCEAAAAJ,16229.0,53.0,1986.0
Zhizhong Han,Wayne State University,https://h312h.github.io,RGNWczEAAAAJ,1562.0,23.0,2011.0
Marco Brocanelli,Wayne State University,http://brok.eng.wayne.edu,AyWhHyQAAAAJ,228.0,8.0,2012.0
RhongHo Jang,Wayne State University,https://engineering.wayne.edu/profile/hf8512,h9Nfyf0AAAAJ,140.0,7.0,2015.0
Monica Brockmeyer,Wayne State University,http://engineering.wayne.edu/profile/ag7006,,,,
Sorin Draghici,Wayne State University,http://vortex.cs.wayne.edu/Sorin/index.htm,fbkIhRYAAAAJ,15721.0,54.0,1996.0
Zheng Dong,Wayne State University,http://zheng.eng.wayne.edu,QbJYBncAAAAJ,360.0,12.0,2010.0
Alexander Kotov,Wayne State University,http://www.cs.wayne.edu/kotov,83gsCFsAAAAJ,1142.0,17.0,2010.0
Jing Hua,Wayne State University,http://www.cs.wayne.edu/~jinghua,E0PGasMAAAAJ,3214.0,33.0,1999.0
Daniel Grosu,Wayne State University,http://www.cs.wayne.edu/~dgrosu,LhsomaUAAAAJ,4335.0,33.0,1996.0
Zichun Zhong,Wayne State University,http://www.cs.wayne.edu/zzhong,1YiIoGYAAAAJ,760.0,13.0,2008.0
Dongxiao Zhu,Wayne State University,http://www.cs.wayne.edu/dzhu,L0CbApYAAAAJ,2918.0,23.0,2005.0
Nathan Fisher,Wayne State University,http://www.cs.wayne.edu/~fishern,30pCSfEAAAAJ,2098.0,24.0,2004.0
Shiyong Lu,Wayne State University,http://www.cs.wayne.edu/~shiyong,ZsA3NvYAAAAJ,9294.0,37.0,1998.0
Lihao Xu,Wayne State University,http://www.cs.wayne.edu/~lihao,Q1QN1qYAAAAJ,4066.0,23.0,1998.0
Loren Schwiebert,Wayne State University,http://www.cs.wayne.edu/~loren,mP7h9LcAAAAJ,6142.0,34.0,1992.0
Farshad Fotouhi,Wayne State University,http://www.cs.wayne.edu/fotouhi/page.php,IkBUnLYAAAAJ,4037.0,30.0,1986.0
Robert G. Reynolds,Wayne State University,http://ai.cs.wayne.edu/ai/member%20webs/Reynolds/index.htm,DGxl9iUAAAAJ,7576.0,40.0,1974.0
Ming Dong,Wayne State University,http://www.cs.wayne.edu/~mdong,yCUFD2wAAAAJ,4595.0,35.0,1999.0
