name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Aviezri S. Fraenkel,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=3774,,,,
Mordechai Ben-Ari,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=3788,Dy5IhH4AAAAJ,9474.0,37.0,1978.0
Shahar Dobzinski,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=41667,teS9lHAAAAAJ,2948.0,29.0,2005.0
Uriel Feige,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2304,,,,
Robert Krauthgamer,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=4211,M3yUD0cAAAAJ,6332.0,43.0,1981.0
Yaron Lipman,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=41941,vyteiT4AAAAJ,9303.0,48.0,2004.0
Yonina C. Eldar,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=67601,vyX6kpwAAAAJ,42234.0,93.0,1998.0
Edriss S. Titi,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=3990,VrQC0_gAAAAJ,15209.0,68.0,1985.0
Oded Goldreich,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1877,DLQW_LoAAAAJ,59507.0,94.0,1981.0
Moni Naor,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2337,stSUaHAAAAAJ,53535.0,94.0,1982.0
David Harel,Weizmann Institute of Science,http://www.wisdom.weizmann.ac.il/~dharel,E20Gzu0AAAAJ,45167.0,77.0,1976.0
Shimon Ullman,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1924,,,,
Zvika Brakerski,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=34225,l0CjtK4AAAAJ,10172.0,38.0,2003.0
Michal Irani,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=4578,5hJNWakAAAAJ,31370.0,74.0,1990.0
Vered Rom-Kedar,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=18987,cLgnNzEAAAAJ,2364.0,25.0,1987.0
Ronen Basri,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=12111,d6vuvHIAAAAJ,18002.0,51.0,1988.0
Amos Tanay,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=33264,1FPxsLoAAAAJ,23794.0,59.0,1980.0
Ohad Shamir,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=21659,all0DHsAAAAJ,11185.0,54.0,2007.0
Danny Peleg,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1883,wBVagosAAAAJ,22623.0,77.0,1984.0
Tamar Flash,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1389,-p2WHtgAAAAJ,16540.0,54.0,1973.0
Eran Segal,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=30021,oAD8PrkAAAAJ,53697.0,95.0,1983.0
Achi Brandt,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2041,,,,
Merav Parter,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=29969,JXbCgOUAAAAJ,1539.0,20.0,2020.0
Ehud Shapiro,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1830,GVENdC8AAAAJ,21556.0,55.0,1975.0
Ran Raz,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2876,vmHFZM0AAAAJ,9785.0,54.0,1989.0
Guy N. Rothblum,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=26799,dDsbkAoAAAAJ,7621.0,38.0,2004.0
Adi Shamir,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1486,EHLBP20AAAAJ,110000.0,95.0,
Boaz Nadler,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=29639,N3Jj5_cAAAAJ,8865.0,41.0,1999.0
