name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Thirimachos Bourlai,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/thirimachos-bourlai,vBn6I3sAAAAJ,2280.0,28.0,2004.0
Natalia A. Schmid,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/natalia-schmid,EP5j9ssAAAAJ,2094.0,22.0,1999.0
Victor Fragoso,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/victor-fragoso,7XBDDigAAAAJ,423.0,9.0,2011.0
Afzel Noore,West Virginia University,https://www.statler.wvu.edu/faculty-staff/adjunct-faculty/afzel-noore,rEopbiMAAAAJ,4585.0,37.0,1988.0
Guodong Guo,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/guodong-guo,f2Y5nygAAAAJ,11501.0,49.0,
Elaine M. Eschen,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/elaine-eschen,,,,
Norma Saiph Savage,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/saiph-savage,GHGHYZAAAAAJ,1980.0,23.0,1993.0
Nasser M. Nasrabadi,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/nasser-nasrabadi,PNhUilMAAAAJ,17490.0,55.0,1980.0
Don Adjeroh,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/donald-a-adjeroh,,,,
Katerina Goseva-Popstojanova,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/katerina-goseva-popstojanova,Zi5QsLYAAAAJ,5000.0,32.0,1991.0
Gianfranco Doretto,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/gianfranco-doretto,ReEG0FwAAAAJ,5955.0,26.0,1997.0
Vinod K. Kulathumani,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/vinod-kulathumani,nzH29FgAAAAJ,2890.0,18.0,1999.0
Hany H. Ammar,West Virginia University,http://community.wvu.edu/~hhammar,,,,
K. Subramani,West Virginia University,http://community.wvu.edu/~krsubramani,,,,
Jeremy Dawson,West Virginia University,https://www.statler.wvu.edu/faculty-staff/faculty/jeremy-dawson,,,,
