name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Elise de Doncker,Western Michigan University,https://wmich.edu/cs/directory/doncker,,,,
Steve Carr,Western Michigan University,https://wmich.edu/cs/directory/carr,,,,
Li Yang,Western Michigan University,https://wmich.edu/geography/directory/yang,,,,
Fahad Saeed,Western Michigan University,https://wmich.edu/cs/research-awards,IPXv-GQAAAAJ,1204.0,17.0,2008.0
Leszek Lilien,Western Michigan University,https://cs.wmich.edu/llilien,5iB3-eMAAAAJ,1840.0,20.0,1978.0
Wuwei Shen,Western Michigan University,https://cs.wmich.edu/~wwshen,,,,
John A. Kapenga,Western Michigan University,https://wmich.edu/cs/directory/kapenga,,,,
Ala Al-Fuqaha Senior,Western Michigan University,https://www.cs.wmich.edu/~alfuqaha,IKnfU2kAAAAJ,14562.0,33.0,1999.0
Zijiang James Yang,Western Michigan University,https://www.cs.wmich.edu/~zijiang,,,,
Donna M. Kaminski,Western Michigan University,https://scholarworks.wmich.edu/masters_theses/2470,,,,
Robert G. Trenary,Western Michigan University,https://www.cs.wmich.edu/~trenary,,,,
Ajay Gupta,Western Michigan University,https://www.cs.wmich.edu/~gupta,1NjXIr0AAAAJ,8627.0,38.0,1942.0
Seung-Hee Bae,Western Michigan University,https://wmich.edu/cs/directory/bae,PsOs9jAAAAAJ,2060.0,16.0,1978.0
