name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Visvakumar Aravinthan,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/EECS/Aravinthan-Visvakumar.php,,,,
Prakash Ramanan,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Ramanan-Prakash.php,ADVpR-gAAAAJ,877.0,14.0,1983.0
Hongsheng He,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/He-Hongsheng.php,,,,
Vinod Namboodiri,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Namboodiri-Vinod.php,F2Ov59AAAAAJ,2019.0,20.0,2003.0
Kaushik Sinha,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Sinha-Kaushik.php,_jAhb40AAAAJ,970.0,13.0,2003.0
Sergio Salinas,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Salinas-Sergio.php,2Gh-ZdAAAAAJ,1098.0,16.0,2012.0
Zhiyong Shan,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Shan-Zhiyong.php,,,,
Sourabh Bose,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Bose-Sourabh.php,SvEabcwAAAAJ,13.0,2.0,2016.0
Rajiv Bagai,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Bagai-Rajiv.php,,,,
Ajita Rattani,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Rattani-Ajita.php,9esyU2EAAAAJ,2348.0,28.0,2006.0
John Watkins,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/EECS/Watkins-John.php,fT4Y1kMAAAAJ,850.0,17.0,1986.0
Remi A. Chou,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Chou-Remi.php,1yJ_XP8AAAAJ,587.0,12.0,2011.0
Gergely V. Záruba,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Zaruba-Gergely.php,gJDwJcAAAAAJ,2197.0,20.0,1996.0
Chengzong Pang,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/EECS/Pang-Chengzong.php,G91EGuAAAAAJ,914.0,14.0,2002.0
Monowar Hasan,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/SoC/Hasan-Monowar.php,lLMWtnkAAAAJ,2230.0,18.0,2012.0
Abu Asaduzzaman,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,WYv3oSEAAAAJ,705.0,13.0,1994.0
Hyuck M. Kwon,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/EECS/Kwon-Hyuck.php,,,,
Ali Eslami,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/EECS/Eslami-Ali.php,puRMzV0AAAAJ,647.0,10.0,2006.0
