name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Qinghua Zheng,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/qhzheng,0uEzYQYAAAAJ,8212.0,42.0,1996.0
Ping Wei,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/pingwei/home,1OQBtdcAAAAJ,769.0,13.0,2008.0
Xingjun Zhang,Xi'an Jiaotong University,http://www.cs.xjtu.edu.cn/info/2639/1595.htm,m6QY7-wAAAAJ,2744.0,30.0,2009.0
Jun Liu,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/liukeen,,,,
Wuxia Jin,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/jinwuxia,_Bz00rsAAAAJ,178.0,7.0,2013.0
Junzhou Zhao,Xi'an Jiaotong University,https://junzhouzhao.github.io,hBLT754AAAAJ,603.0,14.0,2010.0
Minnan Luo,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/minnluo,C3ujEF0AAAAJ,1369.0,20.0,2011.0
Yi-Jun Yang,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/yangyijun/english,,,,
Xiaoyan Zhu,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/zhu.xy,,,,
Danfeng Shan,Xi'an Jiaotong University,https://dfshan.github.io,XLbHoCsAAAAJ,185.0,6.0,2013.0
Zhongmin Cai,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/zmcai/english-version,dkp-d0IAAAAJ,1134.0,19.0,2002.0
Hao Li,Xi'an Jiaotong University,https://aquatoney.github.io,,,,
Weizhan Zhang,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/zhangwzh123,Y9oMV_0AAAAJ,585.0,12.0,2006.0
Zong-Ben Xu,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/zbxu,,,,
Xiaohong Guan,Xi'an Jiaotong University,http://www.xjtu.edu.cn/jsnr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1632&wbwbxjtuteacherid=502,,,,
Yuanqi Su,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/yuanqisu,hXQYvl8AAAAJ,283.0,9.0,2005.0
Jizhong Zhao,Xi'an Jiaotong University,http://www.xjtu.edu.cn/jsnr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1632&wbwbxjtuteacherid=626,CbGjM58AAAAJ,3970.0,33.0,2000.0
Xuguang Lan,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/zeuslan,,,,
Ge Wang,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/gewang,ngEGALwAAAAJ,280.0,9.0,2015.0
Xi Zhao,Xi'an Jiaotong University,https://gr.xjtu.edu.cn/web/xi.zhao,IZqErZQAAAAJ,133.0,6.0,2014.0
Nan-Ning Zheng,Xi'an Jiaotong University,http://en.xjtu.edu.cn/info/1018/1640.htm,iqMe3p8AAAAJ,28774.0,72.0,1982.0
Hongbin Sun,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/hsun,2nI_wvAAAAAJ,967.0,16.0,2008.0
Peng Zhao,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/p.zhao,,,,
Jihua Zhu,Xi'an Jiaotong University,http://zhujh.gr.xjtu.edu.cn,JcN97sQAAAAJ,1219.0,18.0,2008.0
Chao Shen,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/cshen,m6QY7-wAAAAJ,2744.0,30.0,2009.0
Pinghui Wang,Xi'an Jiaotong University,https://nskeylab.xjtu.edu.cn/people/phwang,_a8jUnQAAAAJ,1064.0,18.0,2007.0
Jinjun Wang,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/jinjun/english,Dk7JgNcAAAAJ,8509.0,36.0,1994.0
Yihong Gong,Xi'an Jiaotong University,https://gr.xjtu.edu.cn/web/ygong,x2xdU7gAAAAJ,28415.0,70.0,1989.0
Ting Liu,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/tingliu/4,vcG2mn8AAAAJ,2442.0,27.0,2006.0
Wei Xi,Xi'an Jiaotong University,https://gr.xjtu.edu.cn/en/web/xiwei,Xt3XP-EAAAAJ,2861.0,24.0,2009.0
Xuebin Ren,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/en/web/xuebinren,,,,
Peng Zhang,Xi'an Jiaotong University,https://nskeylab.xjtu.edu.cn/people/pzhang,AdvgGYgAAAAJ,802.0,14.0,2010.0
Longjun Liu,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/en/web/liulongjun,Fq8U66oAAAAJ,370.0,11.0,2011.0
Heli Sun,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/hlsun,HXjwuE4AAAAJ,1488.0,17.0,2008.0
Yong Qi,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/qiy,LgZ0DxkAAAAJ,2502.0,24.0,1997.0
Han Ding,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/dinghan,0sLAHGUAAAAJ,790.0,15.0,2013.0
