name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Xi Yang,Xidian University,https://web.xidian.edu.cn/yangx/index.html,W5c-LSYAAAAJ,784.0,15.0,2013.0
Jinjian Wu,Xidian University,https://web.xidian.edu.cn/wjj/,QsSBP2UAAAAJ,2737.0,25.0,2009.0
Shanfeng Wang,Xidian University,https://web.xidian.edu.cn/sfwang/,5iXRj7kAAAAJ,643.0,15.0,2014.0
Quanxue Gao,Xidian University,https://web.xidian.edu.cn/qxgao/,R1vy_skAAAAJ,2392.0,28.0,2004.0
Xinbo Gao,Xidian University,https://see.xidian.edu.cn/faculty/xbgao,VZVTOOIAAAAJ,25146.0,75.0,
Shuiping Gou,Xidian University,https://web.xidian.edu.cn/shpgou/,QdUISv8AAAAJ,1203.0,19.0,2004.0
Shasha Mao,Xidian University,https://web.xidian.edu.cn/ssmao/,QLCqaOwAAAAJ,260.0,8.0,2008.0
Yulong Shen,Xidian University,https://web.xidian.edu.cn/ylshen,G2lp_8kAAAAJ,2260.0,21.0,2007.0
Xuefeng Liang,Xidian University,https://web.xidian.edu.cn/xliang/,uGYnETwAAAAJ,969.0,14.0,2004.0
Shuang Wang,Xidian University,https://web.xidian.edu.cn/shwang/,CeLvrv8AAAAJ,2361.0,27.0,2005.0
Yutao Qi,Xidian University,https://web.xidian.edu.cn/qiyutao,F7mTF4kAAAAJ,1750.0,21.0,2005.0
Ziyu Guan,Xidian University,https://web.xidian.edu.cn/zyguan/en/index.html,mSJcQwYAAAAJ,2650.0,26.0,2008.0
Lingling Li,Xidian University,https://web.xidian.edu.cn/llli/,W_Vi_hIAAAAJ,1741.0,20.0,2014.0
Rongfang Wang,Xidian University,https://web.xidian.edu.cn/rfwang/,OSTHVJYAAAAJ,243.0,10.0,2012.0
Xianghai Cao,Xidian University,https://web.xidian.edu.cn/caoxh/index.html,q4GKoagAAAAJ,961.0,17.0,2005.0
Yang-Yang Li,Xidian University,http://see.xidian.edu.cn/iiip/html/keyanduiwu/2009/0820/faculty/yyli,LmGCX80AAAAJ,1631.0,22.0,2004.0
Xiumei Wang,Xidian University,http://web.xidian.edu.cn/wangxm/index.html,k33uf2RE8nsC,944.0,9.0,2017.0
Xiaofeng Chen,Xidian University,https://web.xidian.edu.cn/xfchen/,-3WhJecAAAAJ,13469.0,58.0,1991.0
