name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Holly E. Rushmeier,Yale University,http://graphics.cs.yale.edu/holly,saY3qN5NWbcC,11259.0,44.0,1985.0
Rajit Manohar,Yale University,http://csl.yale.edu/~rajit,xpiTjY0AAAAJ,9491.0,38.0,1994.0
Andre Wibisono,Yale University,http://www.cs.yale.edu/homes/wibisono,Py_StfUAAAAJ,1498.0,13.0,2009.0
Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,2932.0,25.0,2008.0
James Aspnes,Yale University,http://www.cs.yale.edu/homes/aspnes,1HYDaVIAAAAJ,8717.0,40.0,1987.0
Nisheeth K. Vishnoi,Yale University,https://cpsc.yale.edu/people/nisheeth-vishnoi,7b5tlJkAAAAJ,1594.0,11.0,2014.0
Julie Dorsey,Yale University,http://graphics.cs.yale.edu/julie,IYXVU-QAAAAJ,10244.0,44.0,1991.0
Robert Soulé,Yale University,https://cpsc.yale.edu/people/robert-soule,di_T0vwAAAAJ,2961.0,26.0,2007.0
Jakub Szefer,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/jakub-szefer,NO1Je2kAAAAJ,2506.0,22.0,
Leandros Tassiulas,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/leandros-tassiulas,9qtgcZ8AAAAJ,31413.0,78.0,2021.0
Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,-YvgZDEAAAAJ,37575.0,81.0,1976.0
Theodore Kim,Yale University,https://cpsc.yale.edu/people/theodore-kim,lZnLhCcAAAAJ,2057.0,23.0,2002.0
Dragomir R. Radev,Yale University,http://www.cs.yale.edu/homes/radev,vIqWvgwAAAAJ,25819.0,69.0,1979.0
Yang Cai,Yale University,https://cpsc.yale.edu/people/yang-cai,HMa4vcYAAAAJ,9423.0,42.0,1989.0
Amin Karbasi,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/amin-karbasi,VusVB38AAAAJ,3987.0,35.0,1994.0
Lin Zhong,Yale University,https://cpsc.yale.edu/people/lin-zhong,hJPN-G8AAAAJ,12186.0,58.0,1996.0
Daniel A. Spielman,Yale University,http://www.cs.yale.edu/homes/spielman,L82mYv8AAAAJ,18940.0,56.0,1989.0
Wenjun Hu,Yale University,https://www.eng.yale.edu/wenjun,SvnnEI8AAAAJ,8070.0,23.0,2005.0
Anurag Khandelwal,Yale University,http://anuragkhandelwal.com,LlfHFqUAAAAJ,720.0,9.0,2015.0
Brian Scassellati,Yale University,http://www.cs.yale.edu/~scaz,0jSdqoEAAAAJ,16170.0,59.0,1994.0
Steven W. Zucker,Yale University,http://www.cs.yale.edu/~vision/zucker/steve.html,rNTIQXYAAAAJ,27596.0,69.0,1974.0
Yang Richard Yang,Yale University,http://www.cs.yale.edu/~yry,AQ6AppgAAAAJ,23722.0,64.0,1948.0
Dana Angluin,Yale University,http://cpsc.yale.edu/people/dana-angluin,bxi6JXYAAAAJ,19060.0,45.0,1976.0
David Gelernter,Yale University,http://cpsc.yale.edu/people/david-gelernter,,,,
John D. Lafferty,Yale University,https://statistics.yale.edu/people/john-lafferty,,,,
Sahand N. Negahban,Yale University,http://www.stat.yale.edu/~snn7,3p-KQUwAAAAJ,4883.0,21.0,2008.0
Joan Feigenbaum,Yale University,http://www.cs.yale.edu/~jf,IAeKTGsAAAAJ,16762.0,55.0,1983.0
Vladimir Rokhlin,Yale University,http://cpsc.yale.edu/people/vladimir-rokhlin,Cy4eJqMAAAAJ,29505.0,59.0,1981.0
Ruzica Piskac,Yale University,http://www.cs.yale.edu/~piskac,71RQt3sAAAAJ,1373.0,19.0,2005.0
Marynel Vázquez,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/marynel-vazquez,,,,
Zhong Shao,Yale University,http://www.cs.yale.edu/~shao,9OukeycAAAAJ,4887.0,43.0,1992.0
Drew McDermott,Yale University,http://www.cs.yale.edu/~dvm,,,,
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,12790.0,55.0,2001.0
Charalampos Papamanthou,Yale University,https://www.cs.yale.edu/homes/cpap,4k0lzWwAAAAJ,10035.0,38.0,2003.0
Smita Krishnaswamy,Yale University,https://medicine.yale.edu/genetics/people/smita_krishnaswamy.profile,l2Pr9m8AAAAJ,5792.0,26.0,1969.0
Michael J. Fischer,Yale University,http://www.cs.yale.edu/~fischer,mnq4vRgAAAAJ,5765.0,42.0,1984.0
