name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Hong-Goo Kang,Yonsei University,http://dsp.yonsei.ac.kr,YsD8KCYAAAAJ,2132.0,25.0,1990.0
Hyung-Chan An,Yonsei University,http://opt.yonsei.ac.kr/an,,,,
SuKyoung Lee,Yonsei University,http://winet.yonsei.ac.kr/home/professor,0Udcn0cAAAAJ,271.0,8.0,2013.0
Sung-Bae Cho,Yonsei University,http://sclab.yonsei.ac.kr/index.php,px5LGgMAAAAJ,16554.0,60.0,1988.0
Seon Joo Kim,Yonsei University,https://sites.google.com/site/seonjookim,1F2czKYAAAAJ,4541.0,29.0,2001.0
Seung-Jae Han,Yonsei University,http://mnet.yonsei.ac.kr/#professor,,,,
Hojung Cha,Yonsei University,https://mobed.yonsei.ac.kr/index.php?mid=People,B3CtxsAAAAAJ,6161.0,35.0,1990.0
Sung-Bong Yang,Yonsei University,http://algo.yonsei.ac.kr/Member.html,bFAJLcMAAAAJ,1097.0,16.0,1991.0
Hanjun Kim,Yonsei University,http://corelab.yonsei.ac.kr/~hanjun,rdQ5AokAAAAJ,782.0,13.0,2009.0
Shin-Dug Kim,Yonsei University,http://supercom.yonsei.ac.kr/Member,UMFYks8AAAAJ,1947.0,23.0,1979.0
Hyeran Byun,Yonsei University,http://cvpr.yonsei.ac.kr/member/index.jsp,F_NI-dcAAAAJ,3810.0,29.0,1987.0
Jong-Seok Lee,Yonsei University,http://mcml.yonsei.ac.kr,YGwwt6cAAAAJ,6676.0,30.0,2004.0
Hyunjung Shim,Yonsei University,https://cvml.yonsei.ac.kr,KB5XZGIAAAAJ,1187.0,16.0,2002.0
Jinyoung Yeo,Yonsei University,http://convei.weebly.com/people.html,Qzv5wTAAAAAJ,207.0,7.0,2012.0
Youngjung Uh,Yonsei University,https://sites.google.com/site/youngjunguh,BWBGrEEAAAAJ,1067.0,8.0,2010.0
Kyoungwoo Lee,Yonsei University,http://dclab.yonsei.ac.kr/kwlee,eM9Nv7UAAAAJ,1006.0,17.0,2000.0
Kwanghoon Sohn,Yonsei University,http://diml.yonsei.ac.kr,zEtk0QsAAAAJ,6639.0,39.0,1989.0
Jeong-Gil Ko,Yonsei University,http://www.eis-lab.org,5zP95ZQAAAAJ,4519.0,26.0,2006.0
Tack-Don Han,Yonsei University,https://sites.google.com/site/ysmslys/the-team/professor,9ws32TIAAAAJ,2826.0,24.0,1987.0
Youngsok Kim,Yonsei University,https://youngsok.github.io,ukhi3-QAAAAJ,578.0,11.0,2013.0
Noseong Park,Yonsei University,https://sites.google.com/view/npark/director,VSuM3gYAAAAJ,1200.0,17.0,2003.0
Sanghyun Park,Yonsei University,http://delab.yonsei.ac.kr/sanghyun,wVcle04AAAAJ,3347.0,25.0,1999.0
Bernd Burgstaller,Yonsei University,https://elc.yonsei.ac.kr/people.htm,,,,
Won Suk Lee,Yonsei University,http://database.yonsei.ac.kr/professor,HbLWZhAAAAAJ,3071.0,30.0,2005.0
Jin-Ho Lee,Yonsei University,http://acsys.yonsei.ac.kr/jinho.html,pm3Fso0AAAAJ,492.0,13.0,2009.0
Yo-Sub Han,Yonsei University,http://toc.yonsei.ac.kr/~emmous,yDOh26sAAAAJ,1478.0,19.0,2005.0
In-Kwon Lee,Yonsei University,http://cga.yonsei.ac.kr/people/iklee,4id34ogAAAAJ,2313.0,22.0,1990.0
Kyong-Ho Lee,Yonsei University,http://icl.yonsei.ac.kr/member-prof.html,xFohNkYAAAAJ,2003.0,24.0,1997.0
