name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
Petros Faloutsos,York University,http://www.cse.yorku.ca/~pfal/Petros_Faloutsos/Main.html,aWdQkjIAAAAJ,11946.0,35.0,
Robert Allison,York University,http://www.cse.yorku.ca/~allison,1LbWyf4AAAAJ,4283.0,33.0,1994.0
Vassilios Tzerpos,York University,http://www.cse.yorku.ca/~bil,YGy4F6oAAAAJ,2258.0,23.0,1994.0
Aijun An,York University,http://www.cse.yorku.ca/~aan,2eUL7eEAAAAJ,5974.0,36.0,1993.0
James Andrew Smith,York University,http://eecs.lassonde.yorku.ca/faculty/james-andrew-smith,cc9nEgYAAAAJ,5914.0,30.0,1992.0
Suprakash Datta,York University,http://www.cse.yorku.ca/~datta,oh1TpjoAAAAJ,1747.0,20.0,1952.0
John K. Tsotsos,York University,http://www.cse.yorku.ca/~tsotsos/Tsotsos/Home.html,Ic6ZXhUAAAAJ,18221.0,70.0,1975.0
Melanie Baljko,York University,http://www.cse.yorku.ca/~mb,VdrPPMsAAAAJ,582.0,15.0,1999.0
George Tourlakis,York University,http://www.cse.yorku.ca/~gt,ubosF3IAAAAJ,326.0,8.0,1972.0
Joseph W. H. Liu,York University,http://eecs.lassonde.yorku.ca/faculty/joseph-w-h-liu,,,,
Michael S. Brown,York University,http://www.cse.yorku.ca/~mbrown,Gv1QGSMAAAAJ,11036.0,54.0,1997.0
Gunnar Gotshalks,York University,http://www.cse.yorku.ca/~gunnar,,,,
Ruth Urner,York University,https://www.eecs.yorku.ca/~ruth,O7p7lRAAAAAJ,673.0,15.0,2006.0
Hamzeh Khazaei,York University,https://www.eecs.yorku.ca/~hkh,n7sDdU8AAAAJ,2056.0,23.0,2007.0
Eric Ruppert,York University,http://www.cs.yorku.ca/~ruppert,ficDn98AAAAJ,2266.0,20.0,1996.0
Natalija Vlajic,York University,http://www.cse.yorku.ca/~vlajic,2TyoDF4AAAAJ,1435.0,18.0,1998.0
Song Wang,York University,https://www.eecs.yorku.ca/~wangsong,gzyZhcgAAAAJ,1308.0,15.0,2011.0
Jonathan S. Ostroff,York University,http://eecs.lassonde.yorku.ca/faculty/jonathan-s-ostroff,i2OOMegAAAAJ,2741.0,24.0,1979.0
Jeff Edmonds,York University,http://www.cs.yorku.ca/~jeff,AjD7zfgAAAAJ,2630.0,23.0,1991.0
Andrew Eckford,York University,http://www.andreweckford.com,xmzuEo0AAAAJ,4817.0,30.0,2000.0
Jarek Gryz,York University,http://www.cs.yorku.ca/~jarek,LcD8HZcAAAAJ,3533.0,22.0,1995.0
Manos Papagelis,York University,https://www.eecs.yorku.ca/~papaggel,1WtE__IAAAAJ,1564.0,15.0,2003.0
Richard P. Wildes,York University,http://www.cse.yorku.ca/~wildes,1vEw_kgAAAAJ,10702.0,39.0,1984.0
Hui Jiang,York University,https://wiki.eecs.yorku.ca/user/hj,DZyVTk8AAAAJ,16337.0,68.0,1995.0
Eugene Roventa,York University,http://eecs.lassonde.yorku.ca/faculty/eugene-roventa,,,,
Parke Godfrey,York University,http://www.cs.yorku.ca/~godfrey,,,,
John Amanatides,York University,http://www.cs.yorku.ca/~amana,,,,
Mokhtar Aboelaze,York University,http://www.cs.yorku.ca/~aboelaze,,,,
Andranik Mirzaian,York University,http://www.eecs.yorku.ca/~andy,,,,
Minas E. Spetsakis,York University,http://eecs.lassonde.yorku.ca/faculty/minas-e-spetsakis,,,,
Matthew Kyan,York University,http://eecs.lassonde.yorku.ca/faculty/matthew-kyan,,,,
Yves Lesperance,York University,http://eecs.lassonde.yorku.ca/faculty/yves-lesperance,,,,
Michael Jenkin,York University,http://eecs.lassonde.yorku.ca/faculty/michael-r-m-jenkin,noDDU_0AAAAJ,9164.0,42.0,1983.0
James Elder,York University,http://elderlab.yorku.ca/~elder,wSBFrb8AAAAJ,7767.0,29.0,1946.0
Zbigniew Stachniak,York University,http://www.cse.yorku.ca/~zbigniew,,,,
Franck van Breugel,York University,http://eecs.lassonde.yorku.ca/faculty/franck-van-breugel,,,,
Uyen Trang Nguyen,York University,http://www.cse.yorku.ca/~utn,eo1FpKIAAAAJ,2030.0,20.0,2000.0
Patrick W. Dymond,York University,http://eecs.lassonde.yorku.ca/faculty/patrick-w-dymond,i1ZltlsAAAAJ,22419.0,76.0,1981.0
Steven Castellucci,York University,http://www.eecs.yorku.ca/~stevenc,KNonqogAAAAJ,546.0,8.0,2007.0
Marin Litoiu,York University,http://www.yorku.ca/mlitoiu,FWASYv0AAAAJ,7870.0,41.0,1992.0
Zhen Ming (Jack) Jiang,York University,http://www.cse.yorku.ca/~zmjiang,dbzTZhcAAAAJ,3103.0,33.0,2005.0
Scott MacKenzie,York University,http://www.yorku.ca/mack,OBAePKYAAAAJ,145767.0,57.0,
Marcus A. Brubaker,York University,http://www.eecs.yorku.ca/~mab,x2wyjkAAAAAJ,10134.0,24.0,2003.0
