,name,affiliation,homepage,scholar_id,citations,h-index
0,Jiawei Zhang 0001,Univ. of California - Davis, http://jiaweizhang.net,7AkZSJsAAAAJ,4410.0,30.0
1,Jiayu Zhou,Michigan State University,http://0xmachine.com,yQKlLTQAAAAJ,5412.0,33.0
2,Xinhui Han,Peking University,http://162.105.163.117/index.php?s=/Home/Article/detail/id/557.html,NOSCHOLARPAGE,,
3,Zhihai Rong,UESTC,http://222.197.183.99/TutorDetails.aspx?id=4088,peq4DgIAAAAJ,2663.0,26.0
4,Myung-Soo Kim,Seoul National University,http://3map.snu.ac.kr/mskim,F7VO16YAAAAJ,5205.0,36.0
5,Aixia Jia,Peking University,http://59.108.48.38:8080/ICSTWIPWeb/jiaaixia.php,NOSCHOLARPAGE,,
6,Dongyan Zhao 0001,Peking University,http://59.108.48.38:8080/ICSTWIPWeb/zhaody_en.php,NOSCHOLARPAGE,,
7,Jaruloj Eamsiri Chongstitvatana,Chulalongkorn University,http://65.54.113.26/Author/3358202/jaruloj-eamsiri-chongstitvatana,NOSCHOLARPAGE,,
8,Amir Ali Ahmadi,Princeton University,http://aaa.princeton.edu,CmoKVuUAAAAJ,2010.0,22.0
9,Katharina Anna Lehmann,TU Kaiserslautern,http://aalab.cs.uni-kl.de/en/gruppe/zweig,UyG7biIAAAAJ,2932.0,24.0
10,Areej Malibari,King Abdulaziz University,http://aamalibari1.kau.edu.sa/CVEn.aspx?Site_ID=0004507&Lng=EN,NOSCHOLARPAGE,,
11,Donald Greenberg,Cornell University,http://aap.cornell.edu/people/donald-greenberg,NOSCHOLARPAGE,,
12,Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,814.0,14.0
13,Abdullah Basuhail,King Abdulaziz University,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,NOSCHOLARPAGE,,
14,Abe Davis,Cornell University,http://abedavis.com,Gp8ghkAAAAJ,,
15,Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ,946.0,10.0
16,Abhinav Shrivastava,University of Maryland - College Park,http://abhinavsh.info,mIF9BowAAAAJ,7599.0,21.0
17,Serge Abiteboul,Ecole Normale Superieure de Cachan,http://abiteboul.com,lk_jn24AAAAJ,34830.0,83.0
