name,affiliation,homepage,scholar_id,citations,h-index,earliest_paper
P. Vassalos,AUEB,http://pubs.dbs.uni-leipzig.de/aa/aff/Greece/Athens/Athens%20University%20of%20Economics%20and%20Business,gnOgiQEAAAAJ,205.0,9.0,2002.0
Stavros Toumpis,AUEB,https://195.251.255.130/en/faculty/toumpis-stavros,LyiVPKEAAAAJ,2804.0,21.0,2000.0
Ion Androutsopoulos,AUEB,http://www.aueb.gr/users/ion,4UJm5EQAAAAJ,11918.0,42.0,1992.0
Michalis K. Titsias,AUEB,http://www.aueb.gr/users/mtitsias,B-SbkAwAAAAJ,5255.0,30.0,2000.0
Vasilios A. Siris,AUEB,http://www.aueb.gr/users/vsiris,Vj3O0cEAAAAJ,5967.0,31.0,1995.0
E. J. Yannakoudakis,AUEB,http://www.aueb.gr/Users/yannakoudakis/english,37tD5JsAAAAJ,738.0,14.0,1978.0
Eugénie Foustoucos,AUEB,https://uregister-ldap.aueb.gr/en/content/applied-mathematics-informatics-finance-and-operational-research-sector,5mes4FYAAAAJ,38.0,4.0,1994.0
Vasilis Vassalos,AUEB,https://www.aueb.gr/en/faculty_page/vassalos-vasilios,oaM-d7QAAAAJ,3723.0,25.0,1995.0
Diomidis D. Spinellis,AUEB,https://www.dmst.aueb.gr/dds,RjXNgA8AAAAJ,11833.0,53.0,1937.0
Antonis Dimakis,AUEB,http://nes.aueb.gr/dimakis.html,DlAhQuIAAAAJ,491.0,8.0,1999.0
Evangelos Markakis,AUEB,http://pages.cs.aueb.gr/~markakis,VDyjbagAAAAJ,4179.0,33.0,2001.0
Panos Constantopoulos,AUEB,https://uregister-ldap.aueb.gr/en/faculty/constantopoulos-panos,EAagfCoAAAAJ,2134.0,28.0,1979.0
Georgios Papaioannou,AUEB,http://www.aueb.gr/users/gepap,8YSbfqcAAAAJ,3092.0,30.0,1983.0
Nicos Malevris,AUEB,http://www.cs.aueb.gr/en/content/malevris-nikolaos,PJ748-EAAAAJ,1437.0,21.0,1989.0
Yannis Kotidis,AUEB,http://www.db-net.aueb.gr/kotidis,ykqoK38AAAAJ,6208.0,34.0,1997.0
Ioannis Milis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/milis-ioannis,CS8EIi0AAAAJ,816.0,13.0,1989.0
Emmanouel A. Giakoumakis,AUEB,https://www-1.aueb.gr/en/content/new-rector-athens-university-economics-and-business,X3EmbHYAAAAJ,556.0,11.0,1985.0
Theodore K. Apostolopoulos,AUEB,http://ieeexplore.ieee.org/document/4114886,WTg8mXoAAAAJ,1091.0,16.0,1982.0
Michalis Vazirgiannis,AUEB,http://www.db-net.aueb.gr/michalis,aWGJYcMAAAAJ,18477.0,54.0,1990.0
T. Z. Kalamboukis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore,,,,
Iordanis Koutsopoulos,AUEB,http://www.cs.aueb.gr/~jordan,Bq_GqyIAAAAJ,5338.0,32.0,1998.0
Vana Kalogeraki,AUEB,http://www2.cs.aueb.gr/~vana,2lpWTDYAAAAJ,7739.0,38.0,1995.0
George C. Polyzos,AUEB,http://niovi.aueb.gr/~gcp,y-Mxxa0AAAAJ,11622.0,46.0,1987.0
Giannis F. Marias,AUEB,http://www.scirp.org/journal/DetailedInforOfEditorialBoard.aspx?personID=953,EO_hUg4AAAAJ,1218.0,21.0,1996.0
Ioannis Kontoyiannis,AUEB,http://pages.cs.aueb.gr/~yiannisk,K7lsKjcAAAAJ,3095.0,29.0,1994.0
George D. Stamoulis,AUEB,http://nes.aueb.gr/users/gs.html,5uRFCLsAAAAJ,1685.0,19.0,1991.0
George Xylomenos,AUEB,http://pages.cs.aueb.gr/~xgeorge,f7tP8gcAAAAJ,4807.0,24.0,1996.0
P. Katerinis,AUEB,http://www.aueb.gr/pages_en/graduate/masters.php,,,,
Dimitris Gritzalis,AUEB,https://www-1.aueb.gr/en/faculty/gritzalis-dimitrios,5hIalXgAAAAJ,16310.0,57.0,1990.0
Manfred Jaeger,Aalborg University,http://people.cs.aau.dk/~jaeger,1E085gUAAAAJ,1923.0,23.0,1993.0
Henning Pohl,Aalborg University,https://henningpohl.net,ftOTeNkAAAAJ,823.0,14.0,2007.0
René Rydhof Hansen,Aalborg University,http://people.cs.aau.dk/~rrh,MGLEvwkAAAAJ,1942.0,21.0,1999.0
Peter Axel Nielsen,Aalborg University,http://people.cs.aau.dk/~pan,l2VkFywAAAAJ,5287.0,25.0,1948.0
Kim G. Larsen,Aalborg University,http://www.cs.aau.dk/~kgl,neDFD60AAAAJ,31128.0,84.0,1984.0
