,total_h_index
0,Western University
1,Max Planck Society
2,Univ. of California - Berkeley
3,Stanford University
4,University of Montreal
5,California Institute of Technology
6,Massachusetts Institute of Technology
7,Harvard University
8,Univ. of California - Los Angeles
9,Weizmann Institute of Science
10,University of Freiburg
11,Westlake University
12,Princeton University
13,Columbia University
14,ETH Zurich
15,University of Waikato
16,NYU Shanghai
17,University of Rochester
18,Johns Hopkins University
19,University of Kansas
20,Univ. of California - San Diego
21,Ecole Normale Superieure
22,University of Minnesota
23,Cornell University
24,University of Pennsylvania
25,Carnegie Mellon University
26,TTI Chicago
27,The Hong Kong Polytechnic University
28,EPFL
29,University of Manitoba
30,HKUST
31,Georgetown University
32,Università della Svizzera italiana
33,University of Texas at Austin
34,Michigan State University
35,KAUST
36,Nanyang Technological University
37,University of Southern California
38,LMU Munich
39,Univ. of Illinois at Urbana-Champaign
40,University of Washington
41,University of Edinburgh
42,Pennsylvania State University
43,University of Leipzig
44,Queen’s University
45,University of Chicago
46,New York University
47,University of Texas at Arlington
48,University College London
49,NWPU
50,Northeastern University
51,Hasso Plattner Institute
52,Univ. of California - Irvine
53,University of Notre Dame
54,University of Maryland - College Park
55,University of Amsterdam
56,University of Bremen
57,University of Alberta
58,Duke University
59,Univ. of California - Merced
60,University of Tennessee
61,Washington University in St. Louis
62,Chinese University of Hong Kong
63,TU Berlin
64,University of Toronto
65,TU Munich
66,University of Mannheim
67,RWTH Aachen
68,University of Oxford
69,University of Bergen
70,Hebrew University of Jerusalem
71,CWI
72,Rice University
73,MBZUAI
74,Brown University
75,Yale University
76,University of North Carolina
77,York University
78,University of Vienna
79,Victoria University of Wellington
80,Temple University
81,Univ. of California - Santa Barbara
82,Georgia Institute of Technology
83,Karlsruhe Institute of Technology
84,National Taiwan University
85,University of Sydney
86,HSE University
87,University of Arizona
88,Purdue University
89,University of Tübingen
90,Rensselaer Polytechnic Institute
91,Czech Technical University
92,University of Cambridge
93,Univ. of California - Davis
94,University of Adelaide
95,USTC
96,Simon Fraser University
97,Tel Aviv University
98,Imperial College London
99,KAIST
100,University of South Florida
101,University of Melbourne
102,University of Bern
103,University of Stuttgart
104,University of Wisconsin - Madison
105,University of Illinois at Chicago
106,University of Michigan
107,Brno University of Technology
108,University of Kent
109,University of Hildesheim
110,Univ. of Maryland - Baltimore County
111,University of Luxembourg
112,Bar-Ilan University
113,Vanderbilt University
114,Arizona State University
115,Ecole Normale Superieure de Cachan
116,University of Missouri
117,TU Darmstadt
118,IIT Guwahati
119,University of Konstanz
120,Stony Brook University
121,Missouri University of Technology
122,Tsinghua University
123,University of Massachusetts Amherst
124,Technion
125,Univ. of California - Riverside
126,University of Hong Kong
127,Texas A&M at Qatar
128,Dartmouth College
129,VU Amsterdam
130,University of Virginia
131,Ohio State University
132,JKU Linz
133,University of Utah
134,University of British Columbia
