,Name,affiliation,homepage,scholar-id,citations,h-index
0,En-Hong Chen,USTC,http://staff.ustc.edu.cn/~cheneh,Q9h02J0AAAAJ,17678.0,64.0
1,Lihua Yue,USTC,http://www.jucs.org/jucs_articles_by_author/Yue_Lihua,,,
2,Joseph E. Gonzalez,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~jegonzal,gM2WW9UAAAAJ,18885.0,52.0
3,Ronald S. Fearing,Univ. of California - Berkeley,https://robotics.eecs.berkeley.edu/~ronf,uA0kNBUAAAAJ,25254.0,75.0
4,Armando Fox,Univ. of California - Berkeley,https://www.eecs.berkeley.edu/Faculty/Homepages/fox.html,GXJqtYUAAAAJ,44883.0,74.0
5,Richard M. Karp,Univ. of California - Berkeley,https://www.eecs.berkeley.edu/Faculty/Homepages/karp.html,,,
6,Sarah Chasins,Univ. of California - Berkeley,https://schasins.com,,,
7,Ruzena Bajcsy,Univ. of California - Berkeley,https://www.eecs.berkeley.edu/Faculty/Homepages/bajcsy.html,,,
8,Brian A. Barsky,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~barsky,,,
9,Jonathan Richard Shewchuk,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~jrs,,,
10,James Demmel,Univ. of California - Berkeley,https://www.cs.berkeley.edu/~demmel,By1xdxEAAAAJ,56996.0,91.0
11,John Wawrzynek,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~johnw,hdnpRKsAAAAJ,10757.0,43.0
12,Alistair Sinclair,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~sinclair,,,
13,Hany Farid,Univ. of California - Berkeley,https://www.ischool.berkeley.edu/people/hany-farid,,,
14,Nir Yosef,Univ. of California - Berkeley,https://niryosef.wordpress.com,gSLAdnEAAAAJ,17986.0,50.0
15,Peter Bartlett,Univ. of California - Berkeley,http://www.stat.berkeley.edu/~bartlett,yQNhFGUAAAAJ,41813.0,78.0
16,Umesh V. Vazirani,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~vazirani,8eB7Q1kAAAAJ,26799.0,54.0
17,Marti A. Hearst,Univ. of California - Berkeley,http://people.ischool.berkeley.edu/~hearst,664NOb0AAAAJ,37371.0,73.0
18,Laurent El Ghaoui,Univ. of California - Berkeley,http://people.eecs.berkeley.edu/~elghaoui,GDe65XEAAAAJ,58324.0,60.0
19,Venkat Anantharam,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/anantharam.html,,,
20,Shafi Goldwasser,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/goldwasser.html,,,
21,Kurt Keutzer,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~keutzer,,,
22,Yun S. Song,Univ. of California - Berkeley,http://www.eecs.berkeley.edu/~yss,,,
23,Alvin Cheung,Univ. of California - Berkeley,https://homes.cs.washington.edu/~akcheung,,,
24,Claire J. Tomlin,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~tomlin,-5_ksIkAAAAJ,27942.0,77.0
25,Avideh Zakhor,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/zakhor.html,NDHbbuAAAAAJ,16202.0,67.0
26,Clark T.-C. Nguyen,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/ctnguyen.html,,,
27,Jaijeet Roychowdhury,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/jr.html,XQE7DTgAAAAJ,6082.0,36.0
28,Kris Pister,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/pister.html,mnAk4HIAAAAJ,34837.0,76.0
29,Nilah Ioannidis,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/nilah.html,,,
30,Harry H. Cheng,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/cheng,,,
31,François Gygi,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/gygi,,,
32,Karl N. Levitt,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/levitt,,,
33,Norm Matloff,Univ. of California - Davis,http://faculty.engineering.ucdavis.edu/matloff,,,
34,Bernd Hamann,Univ. of California - Davis,http://graphics.cs.ucdavis.edu/~hamann,,,
35,Ronald A. Olsson,Univ. of California - Davis,http://www.cs.ucdavis.edu/~olsson,,,
36,Cindy Rubio-González,Univ. of California - Davis,http://web.cs.ucdavis.edu/~rubio,,,
37,Prem Devanbu,Univ. of California - Davis,http://www.cs.ucdavis.edu/~devanbu,tQ5vbOAAAAAJ,17251.0,63.0
38,Alexander V. Veidenbaum,Univ. of California - Irvine,http://www.ics.uci.edu/~alexv,,,
39,Chen Li,Univ. of California - Irvine,https://chenli.ics.uci.edu,,,
40,Sandy Irani,Univ. of California - Irvine,https://www.ics.uci.edu/~irani,,,
41,Alex Nicolau,Univ. of California - Irvine,http://www.ics.uci.edu/~nicolau,oD0ISLcAAAAJ,13903.0,63.0
42,Iftekhar Ahmed,Univ. of California - Irvine,https://www.ics.uci.edu/~iftekha,bS1KOIQAAAAJ,694.0,15.0
43,Michael Franz,Univ. of California - Irvine,http://www.michaelfranz.com,,,
44,Kai Zheng,Univ. of California - Irvine,https://www.ics.uci.edu/~zhengkai,,,
45,Michael B. Dillencourt,Univ. of California - Irvine,http://www.ics.uci.edu/~dillenco,,,
46,Geoff Bowker,Univ. of California - Irvine,http://www.ics.uci.edu/~gbowker,,,
47,Rina Dechter,Univ. of California - Irvine,http://www.ics.uci.edu/~dechter,,,
48,Lubomir Bic,Univ. of California - Irvine,http://www.ics.uci.edu/~bic,,,
49,Brian Demsky,Univ. of California - Irvine,http://plrg.eecs.uci.edu,,,
50,Magda El Zarki,Univ. of California - Irvine,http://www.ics.uci.edu/~magda,,,
51,Joshua Garcia,Univ. of California - Irvine,https://jgarcia.ics.uci.edu,,,
52,Vijay V. Vazirani,Univ. of California - Irvine,http://www.cc.gatech.edu/~vazirani,,,
53,J. G. Tanenbaum,Univ. of California - Irvine,http://tess.thegeekmovement.com,otOX1vYAAAAJ,2970.0,27.0
54,Bill Tomlinson,Univ. of California - Irvine,http://www.ics.uci.edu/~wmt,-jW6ADwAAAAJ,5067.0,31.0
55,Adnan Darwiche,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~darwiche,NzyvbZoAAAAJ,15036.0,61.0
56,Miodrag Potkonjak,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~miodrag,,,
57,Joseph J. DiStefano III,Univ. of California - Los Angeles,http://www.cs.ucla.edu/joseph-distefano-iii,,,
58,Sheila A. Greibach,Univ. of California - Los Angeles,http://www.cs.ucla.edu/sheila-greibach,,,
59,Michael G. Dyer,Univ. of California - Los Angeles,http://cs.ucla.edu/~dyer,,,
60,Yuval Tamir,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~tamir,,,
61,Wei Wang,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~weiwang,,,
62,Alberto Cerpa,Univ. of California - Merced,http://www.andes.ucmerced.edu/~acerpa,,,
63,Angelo Kyrilov,Univ. of California - Merced,https://www.ucmerced.edu/content/angelo-kyrilov,,,
64,David C. Noelle,Univ. of California - Merced,https://eecs.ucmerced.edu/content/david-noelle,,,
65,Pengfei Su,Univ. of California - Merced,https://pengfei-su.github.io,,,
66,Shaolei Ren,Univ. of California - Riverside,http://www.ece.ucr.edu/~sren,,,
67,Jiasi Chen,Univ. of California - Riverside,http://www.cs.ucr.edu/~jiasi,3FC3-T0AAAAJ,1643.0,15.0
68,Silas Richelson,Univ. of California - Riverside,http://people.csail.mit.edu/sirichel,RI2U3JYAAAAJ,540.0,12.0
69,Mart L. Molle,Univ. of California - Riverside,http://www.cs.ucr.edu/~mart,,,
70,Laxmi N. Bhuyan,Univ. of California - Riverside,http://www.cs.ucr.edu/~bhuyan,EITmT94AAAAJ,7574.0,37.0
71,Chinya V. Ravishankar,Univ. of California - Riverside,http://www.cs.ucr.edu/~ravi,,,
72,Mohsen Lesani,Univ. of California - Riverside,http://www.cs.ucr.edu/%7Elesani,,,
73,Zhiyun Qian,Univ. of California - Riverside,http://www.cs.ucr.edu/~zhiyunq,,,
74,Babak Salimi,Univ. of California - San Diego,https://bsalimi.github.io,KC8hpXkAAAAJ,423.0,11.0
75,George Papen,Univ. of California - San Diego,https://profiles.ucsd.edu/george.papen,,,
