college,avg_rank
Univ. of California - Berkeley,0.75
Massachusetts Institute of Technology,3.5
Stanford University,4.5
Carnegie Mellon University,10.5
Columbia University,11.75
Univ. of California - San Diego,16.25
Max Planck Society,16.5
Univ. of California - Los Angeles,18.75
EPFL,19.0
Cornell University,19.0
Univ. of Illinois at Urbana-Champaign,19.5
University of Pennsylvania,19.75
Princeton University,22.0
ETH Zurich,22.0
University of Maryland - College Park,26.25
University of Washington,27.0
Nanyang Technological University,27.25
HKUST,27.25
University College London,30.5
University of Southern California,32.25
Harvard University,33.25
University of Edinburgh,36.0
New York University,36.75
Georgia Institute of Technology,36.75
Johns Hopkins University,38.75
University of Minnesota,39.0
University of Texas at Austin,40.0
Univ. of California - Irvine,40.5
University of Oxford,44.0
Weizmann Institute of Science,44.25
Northeastern University,45.0
Pennsylvania State University,46.0
University of Michigan,47.75
University of Toronto,48.0
TU Munich,51.0
Imperial College London,53.5
Duke University,54.0
University of Alberta,58.75
Chinese University of Hong Kong,61.0
University of Montreal,62.75
Michigan State University,63.75
TU Berlin,64.75
Univ. of California - Santa Barbara,64.75
Tsinghua University,65.25
California Institute of Technology,70.5
Hebrew University of Jerusalem,71.0
Technion,71.75
Stony Brook University,73.5
University of Chicago,74.75
University of Wisconsin - Madison,75.75
University of Cambridge,75.75
Università della Svizzera italiana,77.25
Purdue University,78.75
University of Freiburg,80.25
University of North Carolina,81.0
Western University,81.75
Brown University,82.0
Yale University,83.5
LMU Munich,83.75
University of Tennessee,84.0
University of Melbourne,84.5
University of Utah,85.5
Univ. of California - Davis,85.5
University of Rochester,85.75
University of Notre Dame,87.0
Vanderbilt University,88.25
National University of Singapore,89.0
University of British Columbia,89.25
Tel Aviv University,89.5
University of Kansas,90.5
RWTH Aachen,93.5
Rice University,94.25
KAUST,96.25
Ecole Normale Superieure,96.75
Queen’s University,98.25
KAIST,99.0
Washington University in St. Louis,99.75
University of Tübingen,99.75
The Hong Kong Polytechnic University,101.75
Simon Fraser University,102.5
University of Sydney,103.0
Rutgers University,103.5
Indiana University,103.75
Shanghai Jiao Tong University,106.0
Victoria University of Wellington,106.25
Graz University of Technology,107.0
University of Manchester,107.75
University of Stuttgart,109.0
University of Waterloo,111.0
Karlsruhe Institute of Technology,112.25
University of Texas at Arlington,112.5
Univ. of California - Riverside,113.75
University of Massachusetts Amherst,114.0
University of Waikato,114.25
University of Amsterdam,117.0
Arizona State University,117.75
University of Queensland,118.25
University at Buffalo,118.5
VU Amsterdam,118.5
Ohio State University,118.75
University of Trento,119.0
Chinese Academy of Sciences,119.25
Peking University,119.75
University of Kent,121.0
CWI,121.5
Northwestern University,124.75
TU Darmstadt,126.0
University of Tokyo,126.75
University of Virginia,128.5
Univ. of Maryland - Baltimore County,128.5
KU Leuven,128.5
Monash University,129.25
University of Bremen,129.75
Politecnico di Milano,130.75
Univ. of California - Santa Cruz,130.75
Queen Mary University of London,131.0
TTI Chicago,131.25
University of Adelaide,131.75
Georgetown University,132.5
University of Colorado Boulder,134.5
University of Texas at Dallas,135.0
MBZUAI,135.25
USTC,135.5
Boston University,135.75
University of Central Florida,135.75
Hasso Plattner Institute,137.5
National Taiwan University,138.75
Zhejiang University,139.25
NWPU,140.0
Texas A&M University,141.75
Saarland University,142.5
University of Manitoba,148.0
TU Delft,149.0
Univ. of California - Merced,149.0
University of Illinois at Chicago,149.5
Bar-Ilan University,150.0
University of Hong Kong,150.75
City University of Hong Kong,151.0
York University,151.75
Oregon State University,152.25
University of Southampton,153.25
CUNY,153.5
North Carolina State University,155.5
Seoul National University,155.5
TU Wien,158.0
University of Pittsburgh,158.5
Rensselaer Polytechnic Institute,159.0
UNSW,159.0
University of South Florida,160.25
George Mason University,160.5
JKU Linz,160.5
University of Arizona,162.0
Temple University,166.5
Czech Technical University,166.5
University of Helsinki,168.25
University of Leipzig,168.25
University of Surrey,173.25
University of Ottawa,173.25
TU Eindhoven,173.25
McGill University,175.0
University of York,176.0
EURECOM,177.5
Ecole Normale Superieure de Cachan,181.0
Australian National University,185.75
Radboud University,186.25
University of Luxembourg,186.5
Aalto University,188.0
Sapienza University of Rome,188.5
Sun Yat-sen University,188.75
Singapore Management University,189.5
University of Calgary,189.5
Dartmouth College,191.0
University of Connecticut,191.5
University of Vienna,192.0
Fudan University,193.25
Carleton University,193.75
NJIT,194.25
University of Zurich,196.75
University of Warwick,197.25
University of Florida,198.0
Harbin Institute of Technology,199.0
Universidade de Lisboa,199.5
IST Austria,201.25
University of Konstanz,201.25
Emory University,201.25
University of Houston,201.5
University of Erlangen–Nuremberg,202.25
University of Mannheim,204.5
KTH Royal Institute of Technology,204.75
Colorado State University,208.75
University of Athens,209.0
Hong Kong Baptist University,213.0
Goethe University Frankfurt,213.75
Virginia Tech,215.5
Westlake University,216.0
University of Liverpool,216.5
University of Technology Sydney,218.0
Heidelberg University,218.25
University of Bonn,218.5
Texas A&M at Qatar,219.25
University of Nebraska,219.75
University of Nottingham,220.5
University of Glasgow,220.75
Rochester Institute of Technology,221.25
Washington State University,221.5
TU Dresden,223.25
University of Saskatchewan,224.25
Lancaster University,224.75
University of Auckland,225.25
Tampere University,225.75
Kyoto University,226.75
Ruhr-University Bochum,229.0
UESTC,229.25
NYU Shanghai,229.75
University of Crete,232.0
Chalmers/GU,232.5
Uppsala University,233.25
University of Innsbruck,234.0
NTUA,234.25
UFMG,234.25
SUSTech,235.0
Brunel University London,235.25
Worcester Polytechnic Institute,238.0
University of Oregon,239.5
Nanjing University,239.75
Osaka University,241.5
University of Copenhagen,241.75
King's College London,242.5
TU Kaiserslautern,243.5
Xidian University,244.75
POSTECH,246.0
University of Sheffield,246.75
University of Hannover,247.75
University of Oklahoma,248.5
TU Braunschweig,248.75
University of Würzburg,249.25
SUTD,249.5
University of Missouri,250.5
University of Birmingham,250.5
University of Hamburg,250.75
Northern Arizona University,252.75
Bielefeld University,254.25
HSE University,254.25
Florida State University,254.75
University of Massachusetts Boston,255.0
University of Klagenfurt,256.5
University of Otago,256.5
Missouri University of Technology,257.5
Humboldt University of Berlin,258.25
University of Western Australia,258.75
Polytechnic University of Catalonia,259.0
Macquarie University,259.25
National Chiao Tung University,260.5
Soochow University,261.75
University of Delaware,263.5
Clemson University,263.75
Lund University,264.0
University of Massachusetts Lowell,264.5
IMDEA Networks Institute,265.75
Ben-Gurion University of the Negev,267.5
CISPA Helmholtz Center,269.0
UCCS,270.25
Bilkent University,270.25
AUEB,271.0
Tokyo Institute of Technology,271.75
IIT Guwahati,272.0
University of Bern,272.0
University of Bristol,273.0
University of Salerno,273.5
University of Pisa,275.0
Wuhan University,275.25
Qatar Computing Research Institute,275.75
Utrecht University,276.5
Aarhus University,277.25
Université libre de Bruxelles,279.0
University of Leeds,280.0
TU Dortmund,280.25
IIT Kanpur,280.25
University of Bergen,280.5
University of South Carolina,281.25
University of Victoria,281.75
University College Dublin,284.25
Iowa State University,284.5
University of Passau,285.25
University of Bath,285.5
University of Texas at San Antonio,286.0
Aalborg University,286.0
Florida International University,287.5
Paderborn University,288.25
University of Ulm,289.25
Brigham Young University,290.75
Syracuse University,291.5
Binghamton University,292.0
ETS Montreal,292.75
University of Marburg,293.0
Dalhousie University,293.25
Georgia State University,295.25
Lehigh University,295.75
